genus,prop_endemic,species_number,new_caledonia
Monachather,1,1,FALSE
Monoon,1,3,FALSE
Monotaxis,1,8,FALSE
Monotoca,1,11,FALSE
Motherwellia,1,1,FALSE
Muelleranthus,1,4,FALSE
Muellerolimon,1,1,FALSE
Muiriantha,1,1,FALSE
Mullerochloa,1,1,FALSE
Muniria,1,4,FALSE
Musgravea,1,2,FALSE
Myosurus,1,1,FALSE
Myriocephalus,1,15,FALSE
Nablonium,1,1,FALSE
Needhamiella,1,1,FALSE
Negria,1,1,FALSE
Neisosperma,1,3,FALSE
Nelsonia,1,1,FALSE
Nematolepis,1,7,FALSE
Neoastelia,1,1,FALSE
Neobassia,1,2,FALSE
Neobyrnesia,1,1,FALSE
Neofabricia,1,3,FALSE
Neorites,1,1,FALSE
Neoroepera,1,2,FALSE
Neosciadium,1,1,FALSE
Neostrearia,1,1,FALSE
Neurachne,1,7,FALSE
Newcastelia,1,9,FALSE
Niemeyera,1,3,FALSE
Nitraria,1,1,FALSE
Noahdendron,1,1,FALSE
Nomismia,1,1,FALSE
Normanbya,1,1,FALSE
Notelaea,1,12,FALSE
Nothoalsomitra,1,1,FALSE
Nothofagus,1,3,TRUE
Nothorites,1,1,FALSE
Notisia,1,1,FALSE
Notochloe,1,1,FALSE
Nuytsia,1,1,FALSE
Nyssanthes,1,4,FALSE
Ochrosperma,1,5,FALSE
Odixia,1,2,FALSE
Oeceoclades,1,1,FALSE
Olearia,1,113,FALSE
Oligarrhena,1,1,FALSE
Omegandra,1,1,FALSE
Omphacomeria,1,1,FALSE
Omphalolappula,1,1,FALSE
Opercularia,1,19,FALSE
Ophiorrhiza,1,1,FALSE
Opisthiolepis,1,1,FALSE
Oraniopsis,1,1,FALSE
Oreomyrrhis,1,7,FALSE
Orianthera,1,13,FALSE
Orites,1,6,FALSE
Ormosia,1,1,FALSE
Ornduffia,1,7,FALSE
Orthrosanthus,1,4,FALSE
Oschatzia,1,2,FALSE
Osteocarpum,1,4,FALSE
Ostrearia,1,1,FALSE
Ourisia,1,1,FALSE
Owenia,1,5,FALSE
Oxychloris,1,1,FALSE
Oxylobium,1,5,FALSE
Oxymyrrhine,1,4,FALSE
Ozothamnus,1,51,TRUE
Pachycladon,1,1,FALSE
Pachymitus,1,1,FALSE
Paenula,1,1,FALSE
Palaquium,1,1,FALSE
Paphia,1,1,TRUE
Papillilabium,1,1,FALSE
Papistylus,1,2,FALSE
Pappochroma,1,9,FALSE
Paraceterach,1,1,FALSE
Paractaenum,1,2,FALSE
Paragonis,1,1,FALSE
Paragoodia,1,1,FALSE
Paraneurachne,1,1,FALSE
Parantennaria,1,1,FALSE
Parapachygone,1,1,FALSE
Patersonia,1,18,TRUE
