genus,prop_endemic,species_number,nz,nc,ng,wcvp,indo2,prop_aus,n,ala,rowsums,current_knowledge
Phlebocarya,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,938,FALSE,0,endemic
Phlegmatospermum,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,1,544,FALSE,0,endemic
Phoringopsis,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,0.9764705882352941,85,TRUE,1,unclear
Phyllangium,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,1,2508,FALSE,0,endemic
Phyllanthera,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,0.8,60,TRUE,3,non-endemic
Phyllocladus,1,1,TRUE,FALSE,FALSE,TRUE,TRUE,0.635985006247397,4802,TRUE,4,non-endemic
Phyllota,1,11,FALSE,FALSE,FALSE,FALSE,FALSE,1,6898,FALSE,0,endemic
Phymatocarpus,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,280,FALSE,0,endemic
Physopsis,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,1,170,FALSE,0,endemic
Pilbara,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,14,FALSE,0,endemic
Pileanthus,1,8,FALSE,FALSE,FALSE,FALSE,FALSE,1,538,FALSE,0,endemic
Pilostyles,1,3,FALSE,FALSE,FALSE,TRUE,FALSE,0.8983050847457628,118,TRUE,2,non-endemic
Pitaviaster,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,265,FALSE,0,endemic
Pithocarpa,1,4,FALSE,FALSE,FALSE,FALSE,FALSE,1,651,FALSE,0,endemic
Pityrodia,1,20,FALSE,FALSE,FALSE,FALSE,FALSE,1,1334,FALSE,0,endemic
Placospermum,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,141,FALSE,0,endemic
Plagiobothrys,1,4,FALSE,FALSE,FALSE,TRUE,FALSE,0.939799331103679,1196,TRUE,2,non-endemic
Plagiocarpus,1,7,FALSE,FALSE,FALSE,FALSE,FALSE,1,323,FALSE,0,endemic
Planocarpa,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,546,FALSE,0,endemic
Platychorda,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,97,FALSE,0,endemic
Platylobium,1,9,FALSE,FALSE,FALSE,FALSE,FALSE,0.9999091858511556,22023,FALSE,0,endemic
Platysace,1,23,FALSE,FALSE,FALSE,FALSE,FALSE,1,25973,FALSE,0,endemic
Platytheca,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,449,FALSE,0,endemic
Platyzoma,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,405,FALSE,0,endemic
Plectorrhiza,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,1234,FALSE,0,endemic
Pleioluma,1,7,FALSE,TRUE,FALSE,TRUE,FALSE,0.8108365019011406,1052,TRUE,3,non-endemic
Pleogyne,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.99812382739212,533,FALSE,0,endemic
Pleurocarpaea,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,244,FALSE,0,endemic
