genus,plant_growth_form,dispersal_appendage,dispersal_syndrome,seed_dry_mass
Iphigenia,herb,NA,barochory,4.44442395
Irvingbaileya,tree,NA,NA,220
Isophysis,herb,none,NA,0.66
Isopogon,tree,NA,undefined,18.215129087850467
Cnesmocarpon,tree,NA,NA,NA
Jagera,tree,fleshy_reward,NA,36.149
Jedda,shrub,NA,NA,NA
Johnsonia,herb,NA,NA,1.729225
Kelleria,subshrub,none,zoochory,0.6096231125
Kingia,tree,NA,NA,29.827551
Korthalsella,tree,NA,endozoochory,NA
Kuntheria,shrub,NA,NA,NA
Labichea,subshrub,NA,NA,43.237885
Lagarostrobos,tree,NA,hydrochory,NA
Lagerstroemia,tree,NA,NA,4.336
Lambertia,tree,NA,barochory,20.33990447303371
Laportea,shrub,NA,NA,NA
Laxmannia,herb,NA,barochory,0.458131214953271
Lechenaultia,subshrub,NA,NA,8.219999999999999
Legnephora,climber_woody,wings,endozoochory,20.35
Lepiderema,tree,aril,NA,420
Lepidopetalum,tree,NA,NA,NA
Lepidozamia,tree,aril,endozoochory,21000
Lepisanthes,tree,NA,NA,633.44
Leptomeria,shrub,none,zoochory,5.564846666666667
Lethedon,tree,NA,NA,13
Levieria,tree,NA,NA,NA
Libertia,herb,none,barochory,0.86900805
Lindera,tree,NA,NA,281.15
Litsea,tree,NA,zoochory,293.25912
Lomandra,tussock,elaiosome,undefined,9.6165073
Lomatia,tree,wings,anemochory,9.888420560747663
Lophopetalum,tree,wings,NA,NA
Ludwigia,shrub,inflated_parts,hydrochory,0.12678883157894738
Lumnitzera,tree,NA,hydrochory,177.2616
Lysiana,tree,aril,zoochory,7.573
Lythrum,herb subshrub,NA,hydrochory,0.10619722222222222
Lasjia,tree,NA,NA,NA
Macadamia,tree,NA,NA,4939.44
Macgregoria,herb,NA,NA,0.3875
Macropidia,herb,NA,NA,14.1796
Macropteranthes,tree,NA,NA,17.7682692
Malaisia,shrub,NA,endozoochory,86
Maniltoa,tree,NA,NA,NA
Medinilla,climber_woody tree,NA,NA,NA
Megahertzia,tree,NA,NA,NA
Melastoma,shrub tree,NA,NA,0.07893333333333333
Memecylon,tree,NA,NA,131.724
Myriophyllum,herb,none,hydrochory,0.29719948181818184
Microcachrys,shrub,NA,zoochory,1.88832
Pherosphaera,shrub,flotation_scales,anemochory hydrochory,0.897
Miliusa,tree,NA,NA,NA
Milligania,herb,NA,NA,0.29594105
Mischocarpus,tree,fleshy_reward,endozoochory,145.97333333333333
Mitrella,climber_woody shrub,NA,NA,NA
Mitrephora,tree,NA,NA,NA
Molineria,herb,NA,NA,2.4255999999999998
Muellerina,tree,NA,endozoochory,NA
Thysanotus,tussock,elaiosome,undefined,1.830013646153846
Musa,tree,NA,NA,NA
Musgravea,tree,NA,NA,22
Myosurus,herb,NA,epizoochory,0.09550666666666667
Myristica,tree,fleshy_reward,endozoochory,1226
Neoastelia,herb,NA,NA,0.1356
Neolitsea,tree,NA,endozoochory,173.238
Neorites,tree,NA,NA,NA
Neostrearia,tree,NA,NA,NA
Neptunia,shrub,NA,zoochory,16.676066666666667
Noahdendron,tree,NA,NA,NA
Nothocnide,climber_woody shrub,NA,NA,NA
Nothofagus,tree,NA,epizoochory,7.16880303
Notothixos,shrub,NA,endozoochory,NA
Nuytsia,tree,NA,NA,80.82499999999999
Olax,tree,NA,endozoochory,39.50574578
Omphacomeria,shrub,NA,endozoochory,NA
Opilia,climber_woody shrub,NA,NA,351.6355582
Opisthiolepis,tree,wing_or_plume,NA,180
Phaleria,tree,NA,zoochory,1603.66
Orites,tree,wings,anemochory,8.037422222222222
Nothorites,tree,NA,NA,NA
Orthrosanthus,herb,NA,barochory,1.97144
Osbeckia,shrub,NA,NA,0.0506
Ostrearia,tree,NA,NA,100
Pachygone,climber_woody,NA,endozoochory,NA
Palmeria,climber_woody,NA,endozoochory,NA
Parapachygone,climber_woody,NA,endozoochory,1300
Pararchidendron,tree,NA,zoochory,60.829301066666666
Paraserianthes,tree,NA,NA,75.36566666666667
Falcataria,tree,NA,NA,NA
Parietaria,shrub,NA,zoochory,0.3169
Patersonia,tussock,none,myrmecochory,1.7671629032258065
Peltophorum,tree,NA,anemochory,55.35128
Pemphis,tree,NA,hydrochory,0.7788
Pennantia,tree,NA,NA,352.85315789473685
Pentaptilon,herb,wings,NA,0.285
Peperomia,shrub,NA,endozoochory,0.23432
Perrottetia,tree,NA,NA,NA
Persoonia,tree,none,zoochory,163.66151090217917
Petalostylis,shrub,aril,NA,15.491916666666667
Petermannia,climber_herbaceous,NA,NA,NA
Petrophile,subshrub,wings,barochory,5.89091881
Philydrella,herb,NA,NA,NA
Philydrum,herb,NA,epizoochory,0.05392
Phyllocladus,tree,NA,zoochory,2.9334
Pilostyles,herb,NA,NA,NA
Pimelea,subshrub,none,zoochory,3.1987201464285713
Piper,tree,NA,endozoochory,34.858317757009345
Pipturus,tree,NA,endozoochory,0.3771
Placospermum,tree,NA,NA,23.89
Pleiogynium,tree,NA,zoochory,18
Pleogyne,climber_woody,NA,endozoochory,NA
Dracaena,tree,NA,NA,NA
Pleurostylia,tree,NA,NA,NA
Podocarpus,tree,receptacle,zoochory,555.96205
Monoon,tree,NA,NA,7000
Huberantha,tree,NA,endozoochory,823.5
Pouzolzia,shrub tree,NA,NA,NA
Procris,shrub,NA,NA,NA
Proiphys,herb,NA,NA,NA
Prumnopitys,tree,receptacle,zoochory,905.5
Psammomoya,shrub,aril,NA,NA
Pseuduvaria,tree,NA,NA,NA
Psychrophila,herb,none,epizoochory,0.7072307692307692
Pternandra,tree,NA,NA,0.085
Pycnarrhena,climber_woody,NA,endozoochory,160
Samadera,tree,NA,NA,NA
Ranunculus,tussock,hooks,zoochory,1.6962956886227545
Rhizophora,tree,NA,hydrochory,32835
Rhodosphaera,tree,NA,NA,409.6154
Rhus,tree,NA,endozoochory,12
Rhysotoechia,tree,NA,endozoochory,307.9225
Ripogonum,climber_woody shrub,none,endozoochory,85.81
Romnalda,herb,NA,NA,14.8772
Rotala,herb,NA,NA,0.05125
Ryticaryum,shrub,NA,NA,NA
Salacia,shrub,NA,endozoochory,3600
Santalum,tree,NA,epizoochory,1614.389952631579
Sarcopetalum,climber_woody,NA,zoochory,10.89225
Sarcopteryx,tree,wings,endozoochory,67
Sarcotoechia,tree,NA,endozoochory,226.66666666666666
Scaevola,tree,none,zoochory,20.474562833333334
Schelhammera,herb,elaiosome,zoochory,4.3903
Selliera,herb,none,epizoochory,0.5590666666666666
Semecarpus,tree,NA,zoochory,3500
Senna,tree,NA,myrmecochory,16.654027
Siphonodon,tree,NA,zoochory,219.7149
Smilax,climber_woody,NA,zoochory,46.54193544444444
Sonneratia,tree,NA,hydrochory,NA
Sowerbaea,herb,none,barochory,1.55865
Sphalmium,tree,NA,NA,NA
Spirogardnera,shrub,NA,NA,NA
Stackhousia,shrub,none,zoochory,2.2508796738095236
Stawellia,herb,NA,NA,NA
Steganthera,tree,NA,endozoochory,130
Stemona,shrub,NA,myrmecochory,29.38
Stenocarpus,tree,NA,anemochory,54.476
Stephania,climber_woody,NA,zoochory,16.648997033333334
Stirlingia,shrub,NA,NA,5.172255
Storckiella,tree,NA,NA,NA
Strangea,shrub,NA,NA,141.77466665
Streblus,tree,NA,zoochory,13.738035366666667
Stypandra,shrub,aril,barochory,1.1754
Symphionema,subshrub,NA,anemochory,NA
Synaphea,shrub subshrub,NA,NA,7.1464754
Synima,tree,NA,endozoochory,215.305
Tacca,shrub,NA,zoochory,22.126856
Tapeinochilos,tree,NA,endozoochory,1
Tasmannia,tree,none,zoochory,4.908622222222222
Telopea,tree,wings,anemochory,55.095103323966946
Terminalia,tree,NA,zoochory,2323.0141263384617
Thelionema,tussock,NA,barochory,1.4652
Thesium,herb,none,endozoochory,3.7648
Tiliacora,tree,NA,NA,NA
Tinospora,climber_woody,NA,zoochory,44.65
Toechima,tree,fleshy_reward,endozoochory,114.64075
Trema,tree,NA,zoochory,3.18
Tribonanthes,herb,NA,NA,0.14900665999999999
Tricoryne,herb,NA,undefined,4.4158
Trimenia,climber_woody shrub,NA,NA,1.663
Tripladenia,herb,elaiosome,NA,NA
Tripterococcus,herb,NA,NA,1.9362
Tristiropsis,tree,NA,NA,NA
Trithuria,herb,NA,epizoochory,0.55053335
Triunia,tree,NA,zoochory,1491.0549999999998
Typha,tussock,NA,anemochory,0.14884976
Urtica,herb shrub,NA,zoochory,0.233
Velleia,herb shrub,wings,zoochory,2.9425481764705883
Verreauxia,shrub,NA,NA,2.236
Wikstroemia,shrub tree,NA,zoochory,23.397725
Wollemia,tree,NA,anemochory,NA
Wurmbea,herb shrub,NA,undefined,1.1078966653846154
Xanthorrhoea,tussock,NA,barochory,12.044205945945945
Ximenia,shrub tree,NA,hydrochory,851.60780856
Xylomelum,tree,NA,anemochory,406.39336734
Xylopia,tree,aril,endozoochory,150
Abrotanella,herb,none,epizoochory,0.39852857142857145
Abutilon,subshrub,NA,zoochory,2.34925
Acacia,tree,none,zoochory,19.9104108680882
Acalypha,shrub,NA,myrmecochory,1.5666202333333332
