genus,plant_growth_form,dispersal_appendage,dispersal_syndrome,seed_dry_mass
Zannichellia,herb,NA,NA,1.0348
Zanthoxylum,tree,fleshy_reward,NA,28.839800000000004
Zehneria,climber_herbaceous herb,NA,NA,NA
Zieria,tree,none,zoochory,1.6105649388349514
Ziziphus,tree,NA,NA,NA
Zostera,herb,NA,hydrochory,NA
Zoysia,tussock,none,epizoochory,0.4503333333333333
Roepera,subshrub,NA,barochory,3.7881337222222222
Acaena,herb,none,zoochory,3.8559130434782607
Actinotus,subshrub,floral_parts,zoochory,1.05577332
Agonis,tree,wings,NA,17.673814285714286
Alyogyne,shrub tree,bristles,NA,4.4635
Ammobium,herb,bristles,epizoochory,0.7422
Angianthus,shrub,pappus,zoochory,0.152617175
Argyrotegium,herb,pappus,anemochory,0.05768342307692308
Baeckea,subshrub,none,zoochory,0.4275995166666667
Beyeria,tree,elaiosome,zoochory,14.99208
Bossiaea,tree,none,zoochory,8.25364285993266
Brachyloma,tree,none,zoochory,19.119495966666666
Roebuckiella,herb,bristles,NA,0.4981333333333333
Calandrinia,herb,aril,undefined,0.32056665624999997
Callistemon,tree,none,anemochory hydrochory,0.14729692387096774
Calotis,subshrub,spines,zoochory,1.0879201668831169
Calytrix,tree,wings,zoochory,2.3261884088235294
Canavalia,shrub,floral_parts,hydrochory,614.5076437111111
Carpha,tussock,plumose,anemochory,2.422097435897436
Celmisia,herb,pappus,anemochory,5.483585344827587
Chorizema,shrub,aril,myrmecochory,3.0503519538461537
Colobanthus,herb,none,zoochory,0.11119683636363636
Comesperma,subshrub,hairs,myrmecochory,1.3052199
Coronidium,subshrub,pappus,anemochory,0.3036586046511628
Craspedia,herb,pappus,anemochory,0.6781500206349206
Cymbopogon,tussock,none,zoochory,1.542825
Daucus,herb,spines,zoochory,1.4492917
Daviesia,tree,none,zoochory,10.233537584293193
Digitaria,tussock,none,zoochory,0.5754618181818182
Dillwynia,subshrub,none,zoochory,4.254827515384616
Epacris,shrub,none,zoochory,0.05218519178082192
Pappochroma,herb,pappus,anemochory,0.5148454545454545
Eucryphia,tree,wings,barochory,0.8949662111111111
Ewartia,shrub,pappus,anemochory,9.2413733
Gahnia,tussock,spines,zoochory,10.552765806451612
Gingidia,herb,spines,zoochory,3.752108333333333
Glycine,shrub,none,zoochory,6.287422222222222
Gnephosis,herb,pappus,zoochory,0.0485776
Gompholobium,subshrub,none,myrmecochory,5.087221247204969
Hannafordia,shrub,aril,zoochory,7.0755951
Hardenbergia,subshrub,none,zoochory,18.551027961165047
Hypericum,subshrub,none,zoochory,0.022913333333333334
Ixiochlamys,subshrub,pappus,anemochory,0.28587999999999997
Juncus,tussock,none,zoochory,0.0225292225
Kennedia,shrub,none,zoochory,20.380858461538462
Seringia,shrub,aril,zoochory,2.13231
Kunzea,tree,none,myrmecochory,0.11960698802816902
Leiocarpa,subshrub,pappus,anemochory,0.218806
Leucochrysum,herb,pappus,anemochory,0.8672795454545454
Lobelia,herb,none,zoochory,0.07532359166666666
Malvastrum,shrub,bristles,zoochory,1.6522778947368422
Melichrus,shrub,floral_parts,zoochory,45.65834
Minuria,subshrub,pappus,anemochory,0.31768266666666667
Myriocephalus,herb,bristles hairs,epizoochory,0.553065
Oreobolus,herb,none,endozoochory,0.7618176470588235
Oreomyrrhis,herb,none,zoochory,2.2095235294117646
Oxylobium,shrub tree,none,barochory,3.5183235294117647
Ozothamnus,subshrub,pappus,anemochory,0.2426595875
Parantennaria,herb,pappus,anemochory,0.030266666666666667
Platylobium,subshrub,none,zoochory,10.231033435114504
Podolepis,herb,pappus,anemochory,0.8652133261904762
Podolobium,shrub,none,barochory,3.6068666666666664
Pogonolepis,herb,pappus,zoochory,0.07428757142857143
Polycalymma,herb,pappus,anemochory,5.663826086956521
Pomaderris,tree,elaiosome,zoochory,1.0177071229946524
Poranthera,subshrub,none,zoochory,0.2560361666666667
Psychotria,tree,none,zoochory,14.192605916666666
Ptilotus,subshrub,none,epizoochory,2.2294108988636365
Pultenaea,subshrub,none,zoochory,3.5610797623493977
Pycnosorus,herb,pappus,anemochory,0.6253153846153846
Radyera,shrub,none,zoochory,6.40192
Rhodanthe,herb,pappus,anemochory,1.2469095384615385
Richea,tree,none,zoochory,0.12458314285714286
Ricinocarpos,shrub,elaiosome,zoochory,27.26776143
Rumex,herb,none,undefined,1.678404
Scleranthus,herb,none,zoochory,0.6911522580645161
Sida,subshrub,spines,zoochory,63.36547151515152
Teucrium,tree,none,zoochory,2.034735
Sprengelia,shrub,none,zoochory,0.04326381428571428
Stylidium,tussock,none,zoochory,0.1975157732
Swainsona,shrub,none,hydrochory,3.737944505217391
Themeda,tussock,none,zoochory,4.412441891891892
Trachymene,shrub,wings,zoochory,0.7510554565217391
Vittadinia,subshrub,pappus,anemochory,0.9932116883116883
Xerochrysum,shrub,pappus,zoochory,0.5490795652173913
Xyris,tussock,none,epizoochory,0.09726190476190476
Ajuga,herb,NA,zoochory,2.5112727272727273
Asperula,herb,none,zoochory,1.9690618181818182
Stenanthera,subshrub,NA,endozoochory,41.3882
Astroloma,subshrub,none,zoochory,57.01164674615384
Chorizandra,tussock,none,hydrochory,4.037076
Chrysocephalum,shrub,pappus,epizoochory,0.169766
Convolvulus,shrub,none,zoochory,7.073767142857143
Dichondra,herb,NA,zoochory,1.7475142857142858
Eryngium,tussock,NA,undefined,1.8332619047619048
Euchiton,herb,none,barochory,0.022429444444444446
Geranium,shrub,none,undefined,2.3042015095238093
Hydrocotyle,herb,NA,zoochory,0.37615904857142857
Lepidosperma,tussock,none,zoochory,3.9918407142857144
Leptorhynchos,herb,pappus,anemochory,0.3308961714285714
Neurachne,tussock,NA,epizoochory,1.7006000000000001
Opercularia,subshrub,elaiosome,zoochory,0.49665625
Pelargonium,subshrub,hairs,zoochory,1.6081314285714285
Solenogyne,herb,none,zoochory,0.3721
Triptilodiscus,herb,none,epizoochory,0.08714285714285715
Amaracarpus,tree,NA,zoochory,7.3
Antirhea,tree,NA,endozoochory,75
Archirhodomyrtus,tree,NA,NA,1.4952
Argyrodendron,tree,NA,anemochory,338.25
Callicarpa,tree,NA,endozoochory,0.58
Castanospermum,tree,NA,hydrochory,22709.773
Cissus,climber_woody,NA,zoochory,29.22023929051724
Cleistanthus,tree,NA,NA,19.2342995
Commersonia,tree,NA,zoochory,2.1206411
Endospermum,tree,NA,NA,NA
Gillbeea,tree,NA,NA,9.025
Glochidion,tree,fleshy_reward,zoochory,10.949615384615385
Homalanthus,tree,NA,zoochory,18.499027777777776
Ixora,tree,NA,endozoochory,29.75
Lasianthus,shrub tree,NA,zoochory,6.8
Macaranga,tree,NA,zoochory,29.6711
Mallotus,tree,NA,zoochory,16.75102
Decalobanthus,climber_woody,wing_or_plume,anemochory,37
Mucuna,herb,NA,hydrochory,3809.866666666667
Neosepicaea,climber_woody,wings,anemochory,20.5
Niemeyera,tree,NA,zoochory,8800
Pilidiostigma,tree,NA,endozoochory,62.2048
Rockinghamia,tree,NA,NA,19.38
Rourea,climber_woody,aril,endozoochory,162
Schefflera,tree,NA,zoochory,5.74375
Syzygium,tree,NA,zoochory,5245.463790666667
Tarenna,tree,NA,NA,NA
Tetracera,climber_woody shrub,NA,zoochory,12
Tetrastigma,climber_woody,NA,endozoochory,71.08196363333333
Timonius,tree,NA,zoochory,1.311
Abroma,tree,NA,NA,NA
Abrophyllum,tree,NA,endozoochory,0.049986249999999996
Abrus,climber_woody,NA,hydrochory,74.81516666666667
Aceratium,tree,NA,NA,930
Ackama,tree,wing_or_plume,anemochory hydrochory,0.138
Actephila,tree,NA,ballistic,68.3950617
Adansonia,tree,NA,NA,506.53599999999994
Aidia,tree,NA,NA,6.6948
Allosyncarpia,tree,NA,NA,NA
Alternanthera,herb shrub,NA,zoochory,0.2844957894736842
Amaranthus,herb,NA,zoochory,0.367975
Ampelocissus,shrub,NA,zoochory,43.650000000000006
Aneilema,herb,NA,barochory,0.873846925
Anisomeles,shrub,NA,NA,1.6766
Antidesma,tree,NA,zoochory,23.143333333333334
Argophyllum,tree,NA,NA,0.4202666666666667
Arthrostylis,tussock,NA,barochory,1.8
Asteromyrtus,tree,NA,NA,0.6362485714285714
Asystasia,herb,NA,NA,NA
Austrobuxus,tree,NA,NA,NA
Austrosteenisia,climber_woody,none,barochory,20.7720068
Backhousia,tree,NA,anemochory,9.48696
Boea,herb,NA,NA,0.0108
Bonamia,subshrub,NA,barochory,4.98296
Brachychiton,tree,fleshy_reward,zoochory,146.58238339534884
Brassiantha,tree,NA,NA,NA
Phyllanthus,tree,NA,zoochory,1.2930625
Cadellia,tree,NA,anemochory,11.8161
Callitriche,herb,NA,epizoochory,0.07800444444444445
Camonea,climber_herbaceous,NA,NA,44.03746666666667
Causonis,shrub tree,NA,NA,NA
Cayratia,herb,NA,zoochory,17.51976592857143
Cephalaralia,climber_woody,NA,endozoochory,3.7794
Ceratopetalum,tree,NA,barochory,11.995175722543353
Clematicissus,shrub,NA,endozoochory,NA
Clerodendrum,tree,NA,zoochory,58.136535
Clitoria,shrub,NA,barochory,58.7
Coelospermum,tree,NA,zoochory,30.926000000000002
Coffea,tree,NA,NA,NA
Commelina,herb,NA,zoochory,11.70144
Connarus,climber_woody,aril,endozoochory,180
Corchorus,subshrub,NA,barochory,1.1899914632352941
Cyanotis,herb,NA,NA,NA
Cyclophyllum,tree,NA,zoochory,80
Dalbergia,tree,NA,NA,NA
Dendrolobium,tree,NA,hydrochory,214.40682786666667
Desmodium,tree,none,zoochory,2.63036456
Grona,herb subshrub,NA,NA,NA
Dioclea,climber_woody,NA,hydrochory,3500
Diospyros,tree,NA,endozoochory,217.48246807090908
Dipteracanthus,subshrub,NA,NA,3.3133
Dissiliaria,tree,NA,NA,68.078
Distimake,herb,NA,myrmecochory,46.98
Dolichandrone,tree,NA,hydrochory,29.32
Dracophyllum,tree,none,anemochory hydrochory,0.0527550875
Erigeron,herb shrub,pappus,anemochory,0.37615705405405403
Erycibe,climber_woody,NA,endozoochory,490
Erythroxylum,tree,NA,zoochory,17.8782
Eugenia,tree,NA,NA,301.14
Excoecaria,tree,NA,hydrochory,64.312
Flagellaria,climber_woody,NA,endozoochory,41.08122664285714
Fuirena,tussock,NA,epizoochory,0.085608
Galactia,shrub,NA,zoochory,23.559466666666665
Gardenia,tree,NA,zoochory,12.6495763125
Geophila,herb,NA,NA,14.1418803
Gmelina,tree,NA,NA,730
Gossia,tree,NA,endozoochory,29.50357002
Graptophyllum,tree,NA,NA,NA
Guettarda,tree,NA,NA,881.4141414
Guilfoylia,tree,NA,NA,579.5925
Gynochthodes,shrub,NA,zoochory,5.790633333333333
Hedyotis,shrub,NA,barochory,0.86
Heliotropium,subshrub,NA,zoochory,1.3820213953488372
Hemigraphis,shrub,NA,NA,NA
Heritiera,tree,NA,hydrochory,20930
Hodgkinsonia,tree,NA,NA,NA
Hypolytrum,tussock,NA,barochory,1.1093333333333333
Indagator,tree,NA,NA,NA
Ipomoea,shrub,NA,hydrochory,64.02752237169811
Isolepis,tussock,none,undefined,0.16306830129870128
Jacquemontia,herb shrub,NA,barochory,3.0348571428571427
Jasminum,tree,NA,zoochory,90.48136531818182
Josephinia,shrub,NA,NA,NA
Lagunaria,tree,NA,NA,49.5992
Larsenaikia,tree,NA,zoochory,8.7246
Lenwebbia,tree,NA,NA,9.3196
Lepidagathis,herb,NA,NA,NA
Lepistemon,climber_herbaceous,NA,NA,NA
Leucopogon,tree,none,zoochory,10.382106711111112
Ligustrum,tree,NA,endozoochory,21.939
Lycianthes,tree,NA,NA,NA
Manilkara,tree,NA,NA,NA
Margaritaria,tree,NA,NA,NA
Melochia,tree,NA,NA,2.590624
Merremia,herb,NA,NA,8.6912
Morinda,tree,NA,endozoochory,34
Motherwellia,climber_woody,NA,NA,NA
Neoroepera,tree,NA,NA,NA
Notelaea,tree,none,zoochory,90.53058384285714
Oldenlandia,tree,NA,epizoochory,0.12833818181818182
Omphalea,tree,NA,NA,16000
Operculina,climber_herbaceous herb,NA,NA,165.39093333333332
Ophiorrhiza,shrub,NA,NA,0.0228
Orthosiphon,herb,NA,NA,NA
Pandorea,shrub,wings,anemochory,2.912467889908257
Paphia,shrub,NA,NA,NA
Pavetta,tree,NA,NA,219
Peripentadenia,tree,NA,NA,780
Peristrophe,herb shrub,NA,NA,NA
Petalostigma,tree,NA,myrmecochory,27.768013330000002
Petraeovitex,climber_woody,NA,NA,NA
Phacellothrix,herb,NA,NA,NA
Phylacium,climber_herbaceous,NA,NA,15.2588
Pleioluma,tree,NA,endozoochory,82
Pollia,herb,NA,barochory,0.6861
Polyscias,tree,NA,zoochory,6.595109090909091
Portulaca,herb,NA,epizoochory,0.12790488205128206
Pseuderanthemum,tussock,NA,epizoochory,2.351
Pseudoweinmannia,tree,NA,NA,NA
Psydrax,tree,NA,endozoochory,13.066
Pueraria,herb,NA,NA,NA
Pupalia,herb,NA,NA,1.5892
Quintinia,tree,NA,NA,0.0288
Randia,tree,NA,zoochory,3.9932
Rhaphidospora,shrub,NA,NA,NA
Rhodamnia,tree,NA,hydrochory zoochory,9.265775
Rhodomyrtus,tree,NA,endozoochory,2.25649
Rhynchosia,shrub,NA,zoochory,12.1939677875
Ristantia,tree,NA,NA,NA
Rostellularia,shrub,NA,epizoochory,NA
Rubus,tree,none,zoochory,1.2227474074074074
Salvia,subshrub,NA,zoochory,1.6340000000000001
Sankowskya,tree,NA,NA,NA
Schoutenia,tree,NA,NA,NA
Scleria,tussock,NA,zoochory,5.283485714285714
Sersalisia,tree,NA,NA,NA
Sloanea,tree,fleshy_reward,zoochory,71.00588235294117
Solori,climber_woody,NA,NA,NA
Spermacoce,subshrub,NA,epizoochory,0.64699
Stemodia,subshrub,NA,hydrochory,0.286628
Stictocardia,climber_woody,NA,hydrochory,NA
Stigmaphyllon,climber_woody,NA,NA,NA
Strongylodon,herb,NA,NA,NA
Symplocos,tree,NA,endozoochory,66.15066666666667
Synostemon,subshrub,NA,zoochory,1.868
Tarennoidea,tree,NA,NA,50.5516
Tecomanthe,climber_woody,NA,NA,NA
Thaleropia,tree,NA,NA,NA
Thespesia,tree,NA,NA,128.29497777777777
Thismia,herb,NA,barochory,NA
Thunbergia,climber_herbaceous,NA,NA,NA
Tragia,herb,NA,barochory,NA
Triflorensia,tree,NA,NA,NA
Trigonostemon,tree,NA,NA,NA
Tristaniopsis,tree,NA,anemochory,1.1326314285714285
Tristellateia,climber_woody,NA,NA,NA
Triumfetta,tree,NA,epizoochory,169.88769393125
Trochocarpa,tree,none,hydrochory zoochory,7.7371901
Uncaria,climber_woody,wings,anemochory,NA
Uromyrtus,tree,NA,NA,4.8701149
Vandasina,climber_woody shrub,NA,barochory,72.024
Veronica,shrub,none,zoochory,0.3877607372093023
Vigna,herb,NA,zoochory,29.76374689117647
Vitex,tree,NA,zoochory,87.9717
Wendlandia,tree,NA,anemochory,0.017
Wetria,tree,NA,NA,NA
Xanthostemon,tree,NA,barochory,4.783838181818182
Xenostegia,herb,NA,barochory,8.598933511111111
Abelmoschus,shrub tree,NA,NA,23.359835742857143
Acanthus,subshrub,NA,NA,NA
Aegialitis,shrub,NA,NA,250
Bombax,tree,NA,NA,28.98
Buchnera,tree,NA,barochory,0.03764666666666667
Cartonema,herb,NA,barochory,1.0003
Choriceras,tree,NA,NA,17.59
Plectranthus,subshrub,NA,zoochory,0.29520802977099236
Crotalaria,subshrub,NA,barochory,13.595732698412698
Dentella,herb,NA,endozoochory,NA
Dillenia,tree,NA,endozoochory,21
Drypetes,tree,NA,NA,91.2472
Evolvulus,herb subshrub,NA,zoochory,0.9121090909090909
Flueggea,tree,NA,zoochory,3.2790836363636364
Gossypium,subshrub,NA,barochory,10.572416666666667
Helicteres,subshrub,NA,barochory,3.4877666666666665
Hypoestes,shrub,NA,epizoochory,NA
Jacksonia,tree,NA,epizoochory,4.733562806666667
Lophostemon,tree,NA,endozoochory,1.548456
Maranthes,tree,NA,NA,NA
Melhania,shrub subshrub,NA,zoochory,3.3129333333333335
Mimusops,tree,NA,NA,602.946
Lithomyrtus,subshrub,NA,NA,NA
Nauclea,tree,NA,endozoochory,0.2894
Osbornia,tree,NA,hydrochory,NA
Pityrodia,shrub,NA,NA,8.85367232
Polymeria,herb,NA,barochory,13.65
Petraeomyrtus,tree,NA,NA,0.5504
Sesbania,tree,NA,hydrochory,16.631766666666667
Sterculia,tree,NA,NA,705
Templetonia,subshrub,NA,zoochory,36.2325218375
Azanza,shrub tree,NA,NA,32.532
Trichodesma,shrub,NA,epizoochory,9.24404
Urena,shrub,NA,NA,15.351244444444445
Utricularia,herb,NA,zoochory,0.030128979166666667
Verticordia,shrub tree,NA,NA,5.013473751351351
Zornia,subshrub,NA,epizoochory,3.61642088
Acrotriche,subshrub,none,zoochory,10.0212
Callicoma,tree,NA,hydrochory,0.2131790099009901
Goodia,shrub tree,none,zoochory,16.9648
Acrothamnus,tree,none,endozoochory,7.9504
Schizomeria,tree,NA,zoochory,109.8045
Centella,herb,NA,undefined,2.0146154750000003
Cuscuta,shrub,NA,endozoochory,1.0130666666666666
Cyperus,tussock,none,undefined,0.18144008908296944
Eleocharis,tussock,none,undefined,0.9234051282051282
Galium,herb,hooks,zoochory,1.3397000000000001
Gratiola,herb,NA,undefined,0.02151778
Hemarthria,tussock,none,epizoochory,NA
Isotoma,herb,NA,zoochory,0.037731425
Lemna,shrub,NA,hydrochory zoochory,0.07
Limosella,herb,NA,epizoochory,0.03912249166666667
Lotus,subshrub,none,barochory,1.7880916666666666
Lycopus,herb,NA,epizoochory,0.48584
Mentha,herb,NA,zoochory,0.1768625
Nymphoides,herb,NA,hydrochory zoochory,0.45344999999999996
Oplismenus,tussock,none,zoochory,0.9660076923076922
Paspalidium,tussock,none,epizoochory,0.684923076923077
Paspalum,tussock,none,zoochory,2.08561
Persicaria,herb shrub,NA,hydrochory zoochory,1.7671103448275862
Polygonum,herb,NA,epizoochory,0.671196
Prunus,tree,NA,NA,2852.3333333333335
Pseudognaphalium,herb,none,anemochory,0.032425
Pseudoraphis,tussock,none,hydrochory,0.9395679
Landoltia,herb,NA,epizoochory,NA
Gastrolobium,tree,NA,NA,6.137570959550562
Bowenia,palmoid,aril,NA,2300
Neonauclea,tree,NA,NA,NA
Palaquium,tree,NA,endozoochory,1200
Calamphoreus,shrub,NA,NA,NA
Diocirea,shrub,NA,NA,NA
Eremophila,tree,aril,zoochory,54.90727529473684
Glycocystis,shrub,NA,NA,NA
Agiortia,shrub,NA,NA,NA
Almaleea,subshrub,none,zoochory,1.5006
Anopterus,tree,wings,NA,6.8368
Aotus,shrub,none,zoochory,2.8022886912280702
Aristotelia,shrub,none,zoochory,6.9592
Astrotricha,shrub,NA,hydrochory,5.377122222222222
Bauera,shrub,elaiosome,zoochory,0.36582411085271316
Chloanthes,tree,NA,zoochory,NA
Cryptandra,subshrub,elaiosome,zoochory,0.5925089826086957
Harmogia,shrub,NA,anemochory,0.0808
Homoranthus,shrub,NA,anemochory,2.9868
Kardomia,shrub,NA,anemochory,0.15208596666666666
Lasiopetalum,shrub,elaiosome,zoochory,1.878526865359477
Lespedeza,subshrub,NA,epizoochory,1.218
Lissanthe,shrub,none,zoochory,42.506
Macrozamia,tree,NA,zoochory,5980.738862727273
Micromyrtus,shrub,NA,anemochory,41.48382857142857
Mirbelia,subshrub,NA,myrmecochory,3.026814814814815
Monotoca,tree,none,zoochory,4.578677777777778
Phyllota,shrub,none,myrmecochory,2.0011393047058825
Platysace,subshrub,elaiosome,zoochory,0.67811
Polyosma,tree,NA,zoochory,34.99
Prostanthera,tree,NA,zoochory,0.6073026585034014
Pseudanthus,subshrub,NA,zoochory,9.0284
Sphaerolobium,subshrub,none,myrmecochory,1.6995333333333333
Spyridium,tree,NA,zoochory,1.099226110638298
Styphelia,shrub,none,zoochory,60.333175000000004
Sauropus,subshrub,NA,zoochory,15.164333333333333
Tetratheca,subshrub,elaiosome,zoochory,1321.1978797875
Xanthosia,tree,elaiosome,zoochory,1.1883266894736841
Spiraeanthemum,tree,NA,NA,NA
Aponogeton,herb,NA,epizoochory,NA
Artanema,herb shrub,NA,NA,0.0656
Barongia,tree,NA,NA,NA
Berrya,tree,NA,NA,NA
Shonia,shrub tree,NA,NA,NA
Bischofia,tree,NA,zoochory,11.986666666666666
Bobea,tree,NA,NA,NA
Brownlowia,tree,NA,NA,NA
Cajanus,shrub,NA,myrmecochory,19.84113942727273
Callerya,climber_woody,none,barochory,2435.041322
Camptostemon,tree,NA,hydrochory,NA
Donella,tree,NA,NA,NA
Cleidion,tree,NA,NA,NA
Codiaeum,tree,fleshy_reward,NA,NA
Androcalva,tree,NA,epizoochory,2.652406704166667
Eschenbachia,shrub,NA,NA,NA
Crispiloba,shrub,NA,NA,NA
Cuttsia,tree,NA,NA,0.02696
Cyrtandra,shrub,NA,NA,0.0085
Davidsonia,tree,NA,zoochory,415.42857143333333
Deplanchea,tree,NA,NA,NA
Dimorphocalyx,tree,NA,NA,NA
Everistia,tree,NA,NA,NA
Firmiana,tree,NA,NA,NA
Floscopa,herb,NA,NA,0.88544
Fontainea,tree,NA,zoochory,895
Franciscodendron,tree,NA,anemochory,136.33333333333334
Gaultheria,shrub,none,endozoochory,0.048227775
Karrabina,tree,wing_or_plume,NA,0.32
Hanslia,shrub,NA,NA,NA
Harnieria,shrub subshrub,NA,NA,NA
Helichrysum,subshrub,pappus,epizoochory,0.35687142857142856
Eumachia,tree,NA,zoochory,27.797066666666666
Howittia,shrub,NA,zoochory,3.6304248333333335
Hylandia,tree,NA,NA,NA
Lenbrassia,shrub,NA,NA,0.1004
Leucas,herb,NA,NA,NA
Lindsayomyrtus,tree,NA,NA,NA
Mackinlaya,shrub,NA,NA,39.84952
Microstachys,shrub,NA,myrmecochory,13.1
Mitrantia,tree,NA,NA,NA
Neofabricia,tree,NA,NA,7.5050444333333335
Neolamarckia,tree,NA,NA,40
Amorphospermum,tree,NA,NA,NA
Nypa,tree,NA,hydrochory,NA
Olea,tree,NA,endozoochory,130.56990000000002
Ormosia,tree,NA,NA,NA
Parinari,tree,NA,zoochory,1828.4899999999998
Pimelodendron,tree,NA,NA,NA
Plumbago,shrub,NA,NA,8.640266666666665
Van-royena,tree,NA,NA,5200
Pullea,tree,NA,NA,6
Rinorea,tree,NA,NA,NA
Sambucus,shrub tree,none,endozoochory,3.5411200000000003
Scyphiphora,tree,NA,hydrochory,NA
Sphaerantia,tree,NA,NA,NA
Stockwellia,tree,NA,NA,NA
Suregada,tree,NA,NA,NA
Suriana,shrub,NA,NA,11.7767
Syncarpia,tree,NA,barochory,1.2427933333333334
Ternstroemia,tree,fleshy_reward,NA,570
Thryptomene,tree,NA,anemochory,2.2705928571428573
Trichospermum,tree,wing_or_plume,endozoochory,0.72
Vesselowskya,tree,NA,NA,0.053733333333333334
Waltheria,shrub,NA,barochory,1.8535466666666667
Welchiodendron,tree,NA,NA,NA
Whyanbeelia,tree,NA,NA,NA
Anemocarpa,herb subshrub,NA,NA,0.39168000000000003
Cullen,subshrub,none,hydrochory,5.767593103448276
Erodium,herb,NA,zoochory,4.362460444444444
Actinobole,herb,NA,epizoochory,0.07310900000000001
Erymophyllum,herb,NA,NA,0.651284
Fimbristylis,tussock,NA,epizoochory,0.32913881481481483
Walwhalleya,tussock,NA,epizoochory,0.5009
Waitzia,herb,NA,anemochory,0.5258916
Caustis,tussock,none,zoochory,12.560425
Cyathochaeta,tussock,NA,epizoochory,9.19559
Entolasia,tussock,none,epizoochory,1.39462
Eutaxia,shrub,none,zoochory,2.99165
Halgania,subshrub,NA,epizoochory,4.689733333333334
Hyalosperma,herb,pappus,anemochory,0.2724895
Imperata,tussock,none,anemochory,0.20045271666666667
Isoetopsis,herb,none,barochory,0.6609675
Micrantheum,subshrub,elaiosome,zoochory,3.4133999999999998
Duma,shrub,NA,endozoochory,3.384595
Omphalolappula,herb,NA,epizoochory,1.4960666666666667
Panicum,tussock,none,hydrochory,0.69956
Pomax,subshrub,NA,epizoochory,1.2093857142857143
Rutidosis,shrub,NA,zoochory,0.8065080689655172
Woollsia,shrub,NA,barochory,0.1587895238095238
Aphanopetalum,shrub,none,zoochory,4.0584
Andersonia,shrub,NA,NA,0.11404375
Beaufortia,shrub,NA,zoochory,0.5686008695652174
Calothamnus,shrub tree,NA,NA,0.6390189953488372
Chamelaucium,shrub,NA,NA,25.648933333333332
Darwinia,shrub,NA,zoochory,6.2416019333333335
Eremaea,shrub tree,NA,NA,2.3148145454545452
Hypocalymma,shrub,NA,NA,0.8682593636363637
Lysinema,shrub,NA,NA,0.18
Microcorys,subshrub,NA,NA,2.5254999999999996
Regelia,shrub tree,NA,NA,2.644148
Taxandria,tree,NA,NA,0.25136444444444445
Wilsonia,subshrub,NA,epizoochory,4.413133333333334
Chrysopogon,tussock,none,zoochory,2.06125
Dichanthium,tussock,none,epizoochory,0.9994415384615385
Iseilema,tussock,none,epizoochory,1.1862
Cenchrus,tussock,none,epizoochory,2.00494
Sorghum,tussock,none,zoochory,5.64032
Austromyrtus,tree,NA,zoochory,2.419008
Euryomyrtus,shrub,elaiosome,zoochory,0.46375
Brunoniella,herb,NA,barochory,9.3696
Crassula,subshrub,NA,undefined,0.028917353125
Oxytes,shrub,NA,zoochory,3.5508
Hemigenia,subshrub,elaiosome,myrmecochory,1.0385348578947369
Ficinia,herb,none,zoochory,0.17176
Lagenophora,herb,none,zoochory,0.5065
Monotaxis,subshrub,NA,zoochory,1.7526666666666666
Ptilothrix,tussock,NA,zoochory,1.6448
Samolus,herb,NA,epizoochory,0.033275
Scutellaria,herb,NA,zoochory,0.6678
Spinifex,tussock,tumbleweed,anemochory,13.85
Tristania,tree,NA,anemochory hydrochory,0.06036
Viminaria,shrub tree,none,zoochory,6.7134285714285715
Nablonium,herb,spines,NA,NA
Anodopetalum,tree,none,NA,NA
Apalochlamys,herb,pappus,anemochory,NA
Archeria,shrub,none,NA,0.0312
Argentipallium,herb,pappus,epizoochory,0.17653
Baumea,tussock,none,hydrochory,1.7132
Bolboschoenus,tussock,none,endozoochory,4.27852
Allittia,tussock,wings,zoochory,0.36893333333333334
Calocephalus,subshrub,pappus,epizoochory,0.13299733333333333
Leptecophylla,shrub,none,endozoochory,20.335733333333334
Cyathodes,tree,none,NA,60.0495
Hackelia,herb,hooks,epizoochory,1.77909765
Donatia,shrub,none,NA,0.116
Geum,herb,hooks,zoochory,1.9894380741935485
Gnaphalium,herb,pappus,barochory,0.025490225000000002
Gymnoschoenus,tussock,none,barochory,2.0279499999999997
Leucophyta,shrub,pappus,anemochory,0.15026666666666666
Androstoma,shrub,none,NA,NA
Millotia,herb,pappus,anemochory,0.18260933333333335
Myosotis,herb,none,epizoochory,0.3183
Nertera,herb,none,endozoochory,1.10952
Odixia,shrub,none,NA,0.8500000000000001
Pentachondra,shrub,none,endozoochory,1.02899428
Planocarpa,shrub,none,NA,NA
Prionotes,climber_woody shrub,none,NA,NA
Pseudopanax,shrub,none,NA,NA
Pterygopappus,herb,none,NA,0.076
Siloxerus,herb,pappus,anemochory,0.1065019
Schoenoplectus,herb,none,endozoochory,1.4237266666666666
Tetracarpaea,shrub,none,NA,0.0073333
Tetraria,tussock,none,epizoochory,7.76
Bothriochloa,tussock,none,zoochory,1.0484018181818182
Urochloa,tussock,none,barochory,1.9301142857142857
Helipterum,herb,NA,epizoochory,1.2805
Paractaenum,tussock,NA,anemochory,2.0507
Thyridolepis,tussock,none,epizoochory,1.6075
Centotheca,tussock,none,zoochory,NA
Lophatherum,tussock,none,zoochory,2.63
Saccharum,tussock,none,anemochory,0.4494666666666667
Schizachyrium,tussock,none,hydrochory,1.7417
Tephrosia,subshrub,NA,barochory,8.872788235294118
Fieldia,herb,NA,endozoochory,0.026
Pavonia,shrub,NA,NA,NA
