"","genus","prop_endemic","species_number","nz","nc","ng","wcvp","indo2","prop_aus","n","ala","rowsums","endemism_status"
"98","Arnocrinum",1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,247,FALSE,0,"endemic"
"99","Arrhenechthites",1,1,FALSE,FALSE,FALSE,TRUE,TRUE,0.955512572533849,1034,TRUE,3,"non-endemic"
"100","Artabotrys",1,1,FALSE,FALSE,TRUE,TRUE,TRUE,0.43010752688172,93,TRUE,4,"non-endemic"
"101","Arthragrostis",1,4,FALSE,FALSE,FALSE,FALSE,FALSE,1,59,FALSE,0,"endemic"
"102","Arthropodium",1,7,TRUE,TRUE,FALSE,TRUE,FALSE,0.983019746391696,36513,TRUE,4,"non-endemic"
"103","Arthrostylis",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.995539696699376,1121,FALSE,0,"endemic"
"104","Asperula",1,21,FALSE,FALSE,FALSE,TRUE,TRUE,0.998990359562272,30704,FALSE,2,"non-endemic"
"105","Astartea",1,22,FALSE,FALSE,FALSE,FALSE,FALSE,0.994670219853431,1501,FALSE,0,"endemic"
"106","Asteridea",1,9,FALSE,FALSE,FALSE,FALSE,FALSE,1,1606,FALSE,0,"endemic"
"107","Asterolasia",1,17,FALSE,FALSE,FALSE,FALSE,FALSE,0.998415213946117,3786,FALSE,0,"endemic"
"108","Asterotrichion",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,354,FALSE,0,"endemic"
"109","Astonia",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,41,FALSE,0,"endemic"
"110","Astrebla",1,4,FALSE,FALSE,FALSE,FALSE,FALSE,1,5757,FALSE,0,"endemic"
"111","Astroloma",1,21,FALSE,FALSE,FALSE,FALSE,FALSE,1,25408,FALSE,0,"endemic"
"112","Astrotricha",1,19,FALSE,FALSE,FALSE,FALSE,FALSE,1,7475,FALSE,0,"endemic"
"113","Astus",1,4,FALSE,FALSE,FALSE,FALSE,FALSE,1,137,FALSE,0,"endemic"
"114","Atherosperma",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.998642533936652,6630,FALSE,0,"endemic"
"115","Athertonia",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.994047619047619,168,FALSE,0,"endemic"
"116","Athrotaxis",1,2,FALSE,FALSE,FALSE,FALSE,FALSE,0.996372430471584,1654,FALSE,0,"endemic"
"117","Atkinsonia",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,220,FALSE,0,"endemic"
"118","Auranticarpa",1,6,FALSE,FALSE,FALSE,FALSE,FALSE,0.998850574712644,870,FALSE,0,"endemic"
"119","Australopyrum",1,3,TRUE,FALSE,FALSE,TRUE,TRUE,0.936823104693141,1108,TRUE,4,"non-endemic"
"120","Austrobaileya",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,138,FALSE,0,"endemic"
"121","Austrobryonia",1,4,FALSE,FALSE,FALSE,FALSE,FALSE,0.994623655913978,558,FALSE,0,"endemic"
"122","Austrobuxus",1,2,FALSE,TRUE,FALSE,TRUE,TRUE,0.877573131094258,923,TRUE,4,"non-endemic"
"123","Austrochloris",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,42,FALSE,0,"endemic"
"124","Austrodolichos",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,0.995833333333333,240,FALSE,0,"endemic"
"125","Austromatthaea",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,174,FALSE,0,"endemic"
"126","Austromuellera",1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,248,FALSE,0,"endemic"
"127","Austromyrtus",1,3,FALSE,FALSE,FALSE,TRUE,FALSE,0.993421052631579,1520,FALSE,1,"non-endemic"
"128","Azanza",1,1,FALSE,FALSE,TRUE,TRUE,TRUE,0.904494382022472,178,TRUE,4,"non-endemic"
"129","Babingtonia",1,10,FALSE,FALSE,FALSE,FALSE,FALSE,0.990384615384615,832,FALSE,0,"endemic"
"130","Backhousia",1,13,FALSE,FALSE,FALSE,FALSE,FALSE,0.99813966800229,6988,FALSE,0,"endemic"
"131","Baileyoxylon",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,121,FALSE,0,"endemic"
"132","Balanops",1,1,FALSE,TRUE,FALSE,TRUE,TRUE,0.979338842975207,242,TRUE,4,"non-endemic"
"133","Balaustion",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,634,FALSE,0,"endemic"
"134","Balladonia",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,27,FALSE,0,"endemic"
"135","Ballantinia",1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,375,FALSE,0,"endemic"
