"","genus","prop_endemic","species_number","nz","nc","ng","wcvp","indo2","prop_aus","n","ala","rowsums","current_knowledge","reason","Least Concern","Critically Endangered","Data Deficient","Endangered","Near Threatened","Vulnerable","Lower Risk/near threatened","Extinct","plant_growth_form","dispersal_appendage","seed_dry_mass","dispersal_syndrome"
"16","Acrothamnus","1",4,"TRUE","FALSE","FALSE","TRUE","TRUE","0.939010017678256","6788","TRUE","4","non-endemic",NA,0,0,0,0,0,0,0,0,"c(""shrub"", ""shrub"", ""tree"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub tree"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"")","c(""none"", ""none"")","c(""9.384"", ""8.187"", ""7.1818"", ""8.7"", ""2.0486"", ""12.201"")","c(""endozoochory"", ""endozoochory"", ""endozoochory"", ""endozoochory"", ""endozoochory"", ""endozoochory"", ""endozoochory"", ""endozoochory"", ""endozoochory"")"
"17","Acrotriche","1",18,"FALSE","FALSE","FALSE","FALSE","FALSE","1","30315","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", 
""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""subshrub"", ""subshrub"")","c(""none"", ""none"")","c(""33.376"", ""6.0032"", ""7.34"", ""0.7556"", ""6.6"", ""12.354"", ""12.7988"", ""6.9268"", ""13.3876"", ""0.67"")","c(""endozoochory"", ""myrmecochory"", ""myrmecochory"", ""endozoochory"", ""zoochory"", ""endozoochory"", ""endozoochory"", ""endozoochory"", ""endozoochory"", ""endozoochory"", ""endozoochory"", ""endozoochory"", ""endozoochory"", ""endozoochory"", ""endozoochory"", ""endozoochory"", ""endozoochory"", ""endozoochory"", ""endozoochory"", ""myrmecochory"", ""myrmecochory"")"
"18","Actinobole","1",4,"FALSE","FALSE","FALSE","FALSE","FALSE","1","5177","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"")","NULL","c(""0.047132"", ""0.0376"", ""0.0508"", ""0.05736"", ""0.06724"", ""0.08524"", ""0.0995"", ""0.14"")","c(""epizoochory"", ""epizoochory"")"
"19","Actinodium","1",1,"FALSE","FALSE","FALSE","FALSE","FALSE","1","303","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"")","NULL","NULL","NULL"
"20","Actinoschoenus","1",5,"FALSE","TRUE","FALSE","TRUE","TRUE","0.983539094650206","729","TRUE","4","non-endemic",NA,0,0,0,0,0,0,0,0,"c(""graminoid"", ""herb"", ""graminoid herb"", ""graminoid herb"", ""graminoid herb"", ""graminoid herb"", ""graminoid herb"", ""graminoid"", ""graminoid"", ""graminoid"", ""graminoid"", ""graminoid"", ""graminoid"", ""graminoid"")","NULL","NULL","NULL"
"21","Actinotus","1",19,"TRUE","FALSE","FALSE","TRUE","FALSE","0.99234091094272","12273","FALSE","2","non-endemic",NA,0,0,0,0,0,0,0,0,"c(""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""shrub subshrub"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""shrub"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""subshrub"", ""herb"", ""herb"", ""herb"", ""herb"")","c(""floral_parts"", ""floral_parts"", ""bristles"", ""elaiosome"")","c(""0.448"", ""1.6709"", ""1.3733"", ""0.8259"", ""2.19"", ""0.4188"", ""0.4056"", ""2.0072"", ""0.702"", ""0.649"", ""0.8040568"", ""1.4364"", ""1.8771429"", ""0.3556"", ""2.3386667"", ""0.7989"", ""0.8"", ""0.808"", ""0.356"", ""0.85"")","c(""myrmecochory"", ""myrmecochory"", ""anemochory"", ""myrmecochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"")"
"22","Actites","1",1,"FALSE","FALSE","FALSE","FALSE","FALSE","1","1413","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"")","pappus","NULL","c(""anemochory"", ""anemochory"")"
"23","Acunniana","1",1,"FALSE","FALSE","FALSE","FALSE","FALSE","1","41","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""herb"", ""herb"")","NULL","NULL","NULL"
"24","Adansonia","1",1,"FALSE","FALSE","TRUE","TRUE","TRUE","0.938504542278127","1431","TRUE","4","non-endemic",NA,0,0,0,0,0,0,0,0,"c(""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"")","NULL","c(""500.1556"", ""512.9164"")","NULL"
"25","Adelphacme","1",1,"FALSE","FALSE","FALSE","FALSE","FALSE","1","26","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""herb"", ""herb"", ""herb"", ""herb"")","NULL","NULL","NULL"
"26","Adenanthos","1",31,"FALSE","FALSE","FALSE","FALSE","FALSE","1","6644","FALSE","0","endemic",NA,8,2,1,9,2,4,0,0,"c(""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub tree"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", 
""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub tree"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""tree"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", 
""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub tree"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub tree"", ""shrub"", ""shrub tree"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", 
""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub tree"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"")","NULL","c(""11.8298785"", ""15.16"")","c(""zoochory"", ""zoochory"", ""zoochory"")"
"27","Adenochilus","1",1,"TRUE","FALSE","FALSE","TRUE","FALSE","0.665354330708661","254","TRUE","3","non-endemic",NA,0,0,0,0,0,0,0,0,"c(""herb"", ""herb"", ""herb"", ""herb"")","NULL","NULL","NULL"
"28","Adriana","1",2,"FALSE","FALSE","FALSE","FALSE","FALSE","1","2982","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"")","NULL","21.9216","c(""myrmecochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""hydrochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"")"
"29","Aeginetia","1",1,"FALSE","FALSE","FALSE","TRUE","TRUE","0.4","5","TRUE","3","non-endemic",NA,0,0,0,0,0,0,0,0,"herb","NULL","NULL","NULL"
"30","Aenictophyton","1",2,"FALSE","FALSE","FALSE","FALSE","FALSE","1","121","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""shrub"", ""shrub"", ""shrub"", ""herb shrub"", ""herb shrub"", ""herb shrub"", ""herb shrub"", ""herb"")","NULL","2.8028","epizoochory"
"31","Agastachys","1",1,"FALSE","FALSE","FALSE","FALSE","FALSE","1","643","FALSE","0","endemic",NA,1,0,0,0,0,0,0,0,"c(""shrub tree"", ""shrub tree"", ""shrub"", ""shrub"", ""tree"", ""shrub tree"")","wings","1.2444","NULL"
"32","Agiortia","1",3,"FALSE","FALSE","FALSE","FALSE","FALSE","1","461","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"")","NULL","NULL","NULL"
"33","Agonis","1",4,"TRUE","FALSE","TRUE","FALSE","FALSE","0.97248322147651","1490","TRUE","3","non-endemic",NA,1,0,0,0,0,0,0,0,"c(""shrub tree"", ""tree"", ""shrub"", ""shrub tree"", ""shrub"", ""shrub"", ""shrub"", ""shrub tree"", ""shrub tree"", ""shrub tree"", ""shrub"", ""shrub"", ""shrub"", ""shrub tree"", ""shrub tree"", ""shrub tree"", ""shrub"", ""shrub"", ""shrub"", ""tree"", ""shrub"", ""tree"", ""shrub"")","wings","c(""2.1011"", ""0.502"", ""0.27"", ""0.7216"", ""0.6564"", ""0.3956"", ""119.07"")","NULL"
"34","Agrostocrinum","1",2,"FALSE","FALSE","FALSE","FALSE","FALSE","1","723","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"")","NULL","c(""4.8478"", ""1.0696"", ""1.7172"")","NULL"
"35","Ajuga","1",2,"FALSE","FALSE","TRUE","TRUE","TRUE","0.982453030840128","11284","TRUE","4","non-endemic",NA,0,0,0,0,0,0,0,0,"c(""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"")","NULL","c(""2.4"", ""2.5"", ""1.97"", ""1.4868"", ""3.84"", ""3.618"", ""3.8472"", ""1.7772"", ""2.24"", ""3.6948"", ""0.25"")","c(""undefined"", ""myrmecochory"", ""myrmecochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""epizoochory"", ""myrmecochory"")"
"36","Akania","1",1,"FALSE","FALSE","FALSE","FALSE","FALSE","1","659","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"")","NULL","NULL","NULL"
"37","Alania","1",1,"FALSE","FALSE","FALSE","FALSE","FALSE","1","187","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""herb"", ""herb"", ""herb"", ""herb"", ""herb"")","NULL","c(""0.032"", ""0.0284"")","NULL"
"38","Aldrovanda","1",1,"FALSE","FALSE","FALSE","TRUE","FALSE","0.79646017699115","113","TRUE","2","non-endemic",NA,0,0,0,1,0,0,0,0,"c(""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"")","NULL","NULL","zoochory"
"39","Alexfloydia","1",1,"FALSE","FALSE","FALSE","FALSE","FALSE","1","107","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""graminoid herb"", ""herb"", ""herb"", ""graminoid"")","NULL","NULL","NULL"
"40","Alexgeorgea","1",3,"FALSE","FALSE","FALSE","FALSE","FALSE","1","486","FALSE","0","endemic",NA,1,0,0,0,0,0,0,0,"c(""graminoid herb"", ""graminoid herb"", ""graminoid herb"", ""graminoid"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""graminoid"", ""graminoid"", ""graminoid"", ""graminoid herb"", ""graminoid herb"", ""graminoid herb"", ""graminoid"", ""graminoid"", ""graminoid"")","NULL","NULL","NULL"
"41","Allittia","1",2,"FALSE","FALSE","FALSE","FALSE","FALSE","1","1237","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""tussock"")","wings","c(""0.286"", ""0.3116"", ""0.5092"")","c(""epizoochory"", ""epizoochory"", ""epizoochory"", ""zoochory"", ""anemochory"", ""anemochory"", ""anemochory"")"
