"","genus","prop_endemic","species_number","nz","nc","ng","wcvp","indo2","prop_aus","n","ala","rowsums","current_knowledge","reason","Least Concern","Critically Endangered","Data Deficient","Endangered","Near Threatened","Vulnerable","Lower Risk/near threatened","Extinct","plant_growth_form","dispersal_appendage","seed_dry_mass","dispersal_syndrome"
"488","Haloragis","1",23,"TRUE","TRUE","FALSE","TRUE","FALSE","0.97296599780631","15499","TRUE","4","non-endemic",NA,0,0,0,0,0,0,0,0,"c(""herb"", ""shrub"", ""herb"", ""herb"", ""herb"", ""herb"", ""shrub"", ""shrub"", ""herb"", ""shrub"", ""herb"", ""herb"", ""shrub"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""shrub"", ""herb"", ""herb"", ""shrub"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb subshrub"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb subshrub"", ""subshrub"", ""subshrub"", ""subshrub"", ""subshrub"", ""herb"", ""herb subshrub"", ""herb"", ""herb"", ""herb"", ""herb"", ""shrub"", ""herb"", ""subshrub"", ""herb"", ""herb"", 
""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb shrub"", ""herb"", ""herb"", ""subshrub"", ""herb"", ""herb"", ""shrub"", ""herb"", ""herb"", ""herb"", ""shrub"", ""herb"", ""shrub"", ""herb subshrub"", ""shrub"", ""herb"", ""herb"", ""herb"", ""subshrub"", ""herb"", ""herb subshrub"", ""herb"", ""shrub"", ""herb"", ""herb"", ""herb"", ""herb subshrub"", ""herb"", ""herb subshrub"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb subshrub"", ""shrub"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb subshrub"", ""herb"", ""herb subshrub"", ""herb"", 
""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""subshrub"", ""herb"", ""herb"", ""herb"", ""shrub"", ""herb"", ""herb"", ""herb shrub"", ""herb"", ""herb"", ""shrub"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb shrub"", ""herb"", ""shrub"", ""shrub"", ""herb"", ""herb"", ""herb"", ""herb shrub"", ""herb"", ""herb"", ""herb"", ""herb"", ""shrub"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb shrub"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", 
""herb"", ""herb subshrub"", ""shrub subshrub"", ""subshrub"", ""shrub"", ""subshrub"", ""shrub subshrub"", ""herb"", ""herb subshrub"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""shrub"", ""herb"", ""herb"", ""subshrub"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb shrub subshrub"", ""herb"", ""herb"", ""herb shrub subshrub"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", 
""herb"", ""herb"", ""herb"", ""herb"", ""herb"")","c(""bristles"", ""none"", ""none"", ""none"", ""none"")","c(""5.464"", ""1.5"", ""5.7821"", ""0.868"", ""1.27884"", ""1.2828"", ""1.7808"", ""3.732"", ""1.648"", ""5.7768"", ""3.7412"", ""5.758"", ""6.4056"", ""3.358"", ""4.74"")","c(""undefined"", ""undefined"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""endozoochory"", ""endozoochory"")"
"489","Haloragodendron","1",6,"FALSE","FALSE","FALSE","FALSE","FALSE","1","602","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""tree"", ""shrub"", ""shrub"", ""shrub"", ""tree"", ""shrub tree"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub tree"", ""shrub"", ""shrub"", ""shrub tree"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub tree"", ""shrub"", ""shrub tree"", ""shrub tree"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub tree"", ""tree"", ""shrub"", ""shrub"")","floral_parts","c(""2.898"", ""2.619"")","c(""anemochory"", ""anemochory"", ""anemochory"")"
"490","Hannafordia","1",3,"FALSE","FALSE","FALSE","FALSE","FALSE","1","543","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"")","c(""aril"", ""aril"")","c(""4.727"", ""8.84"", ""11.1071"", ""5.0052"", ""5.6986755"")","c(""zoochory"", ""zoochory"")"
"491","Haptotrichion","1",2,"FALSE","FALSE","FALSE","FALSE","FALSE","1","34","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"")","NULL","1.3032","NULL"
"492","Harmogia","1",1,"FALSE","FALSE","FALSE","FALSE","FALSE","1","966","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"")","NULL","0.0808","c(""anemochory"", ""anemochory"")"
"493","Harmsiodoxa","1",3,"FALSE","FALSE","FALSE","FALSE","FALSE","1","2081","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"")","NULL","c(""0.604"", ""0.724"", ""0.735"", ""0.046"", ""0.4648"", ""0.4225"")","c(""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"", ""zoochory"")"
"494","Harnieria","1",2,"FALSE","FALSE","FALSE","FALSE","FALSE","0.989304812834225","561","TRUE","1","unclear","not sure about the taxonomics here - justicia?",0,0,0,0,0,0,0,0,"c(""herb"", ""shrub"", ""shrub"", ""shrub subshrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"")","NULL","NULL","NULL"
"495","Hedraianthera","1",1,"FALSE","FALSE","FALSE","FALSE","FALSE","1","589","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""tree"", ""shrub tree"", ""tree"", ""tree"", ""tree"", ""shrub tree"", ""tree"", ""shrub tree"")","c(""aril"", ""fleshy_reward"")","NULL","NULL"
"496","Hedycarya","1",2,"TRUE","TRUE","FALSE","TRUE","FALSE","0.927576601671309","5744","TRUE","4","non-endemic",NA,1,0,0,0,0,0,0,0,"c(""tree"", ""tree"", ""shrub tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""shrub"", ""shrub tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""shrub tree"", ""tree"", ""tree"", ""shrub"")","NULL","c(""1.34"", ""2.0436"", ""2.0748"", ""35"", ""84"")","c(""zoochory"", ""endozoochory"", ""endozoochory"", ""endozoochory"")"
"497","Hedyscepe","1",1,"FALSE","FALSE","FALSE","FALSE","FALSE","0.973684210526316","76","TRUE","1","endemic","endemic to lord howe - record in NZ?",0,0,0,0,0,1,0,0,"c(""palmoid"", ""tree"", ""palmoid"")","NULL","NULL","NULL"
"498","Helichrysum","1",4,"TRUE","TRUE","TRUE","TRUE","TRUE","0.818058132343847","8085","TRUE","6","non-endemic",NA,0,0,0,0,0,0,0,0,"c(""shrub"", ""shrub"", ""shrub"", ""shrub"", ""subshrub"", ""herb"", ""herb"", ""herb"", ""herb"", ""shrub"", ""herb"", ""shrub tree"", ""herb"", ""shrub"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""subshrub"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""shrub"", ""herb"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""herb"", ""shrub"", ""herb"", ""herb"")","c(""pappus"", ""pappus"")","c(""0.142"", ""0.4814"", ""0.3424"", ""0.0567"", ""0.1"", ""0.342"", ""1.0336"")","c(""anemochory"", ""anemochory"", ""anemochory"", ""anemochory"", ""anemochory"", ""anemochory"", ""anemochory"", ""anemochory"", ""anemochory"", ""epizoochory"", ""anemochory"", ""anemochory"", ""anemochory"")"
"499","Helipterum","1",1,"FALSE","FALSE","FALSE","FALSE","FALSE","0.988405797101449","345","TRUE","1","endemic","taxonomic confusion - unplaced in POWO",0,0,0,0,0,0,0,0,"c(""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"")","NULL","c(""2.678"", ""0.18"", ""1.244"", ""1.02"")","c(""anemochory"", ""anemochory"", ""anemochory"", ""epizoochory"", ""anemochory"", ""anemochory"", ""anemochory"", ""anemochory"", ""anemochory"", ""anemochory"", ""anemochory"", ""anemochory"", ""anemochory"", ""anemochory"")"
"500","Helmholtzia","1",2,"FALSE","FALSE","FALSE","TRUE","TRUE","0.996884735202492","642","FALSE","2","non-endemic",NA,0,0,0,0,0,0,0,0,"c(""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"")","NULL","c(""0.14"", ""0.5036"")","NULL"
"501","Hemarthria","1",1,"FALSE","FALSE","TRUE","TRUE","TRUE","0.994891443167305","4698","FALSE","3","non-endemic",NA,0,0,0,0,0,0,0,0,"c(""graminoid"", ""graminoid"", ""tussock"", ""tussock"", ""tussock"", ""graminoid herb"", ""graminoid herb"", ""graminoid herb"", ""herb"", ""graminoid herb"", ""graminoid herb"", ""herb"", ""graminoid herb"", ""graminoid herb"", ""graminoid"", ""graminoid"", ""graminoid"", ""graminoid"", ""graminoid_not_tussock"", ""graminoid_not_tussock"", ""graminoid_not_tussock"", ""herb"")","c(""hooks"", ""none"", ""none"", ""none"")","NULL","c(""anemochory"", ""anemochory"", ""anemochory"", ""epizoochory"", ""epizoochory"", ""epizoochory"", ""epizoochory"", ""epizoochory"", ""epizoochory"")"
"502","Hemiandra","1",9,"FALSE","FALSE","FALSE","FALSE","FALSE","1","1693","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", 
""shrub"")","NULL","c(""2.0277"", ""1.67"", ""2.5"")","NULL"
"503","Hemichroa","1",1,"FALSE","FALSE","FALSE","FALSE","FALSE","0.94","750","TRUE","1","endemic","ALA data error",0,0,0,0,0,0,0,0,"c(""shrub"", ""shrub"", ""subshrub"", ""shrub"", ""herb"", ""shrub"", ""herb"", ""herb"", ""shrub"", ""herb"", ""herb"", ""shrub"", ""herb"", ""herb"", ""herb"")","NULL","NULL","c(""zoochory"", ""hydrochory"", ""zoochory"")"
"504","Hemigenia","1",53,"FALSE","FALSE","FALSE","FALSE","FALSE","1","3704","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""shrub"", ""subshrub"", ""shrub"", ""shrub"", ""shrub"", ""herb"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", 
""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", 
""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", 
""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", 
""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"")","elaiosome","c(""0.85"", ""0.9226"", ""0.774"", ""0.8716"", ""1.038"", ""1.174"", ""0.3792"", ""1.6313253"", ""0.774"", ""0.3418"", ""0.5608"", ""0.464557"", ""2.40828"", ""1.0212"", ""1"", ""1.1908"", ""2.16"", ""0.46"", ""1.71"")","c(""myrmecochory"", ""myrmecochory"")"
"505","Hemiphora","1",5,"FALSE","FALSE","FALSE","FALSE","FALSE","1","461","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""herb shrub"", ""herb shrub"", ""herb shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"")","NULL","NULL","NULL"
"506","Hemmantia","1",1,"FALSE","FALSE","FALSE","FALSE","FALSE","0.571428571428571","21","TRUE","1","endemic","ALA data error",0,0,0,0,0,0,0,0,"c(""tree"", ""shrub tree"", ""shrub"", ""shrub"", ""shrub tree"")","NULL","NULL","NULL"
"507","Hensmania","1",3,"FALSE","FALSE","FALSE","FALSE","FALSE","1","170","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"")","NULL","0.66","NULL"
"508","Heterachne","1",3,"FALSE","FALSE","FALSE","FALSE","FALSE","1","471","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""graminoid herb"", ""graminoid herb"", ""graminoid herb"", ""graminoid herb"", ""graminoid herb"", ""tussock"", ""tussock"", ""tussock"", ""tussock"", ""graminoid"", ""herb"", ""herb"", ""herb"", ""graminoid herb"", ""graminoid herb"", ""graminoid herb"", ""tussock"", ""graminoid"", ""tussock"", ""tussock"", ""tussock"")","c(""none"", ""none"", ""none"", ""none"")","c(""0.2096"", ""0.102957"", ""0.2"")","c(""anemochory"", ""anemochory"", ""anemochory"", ""anemochory"")"
"509","Heterozostera","1",3,"FALSE","FALSE","FALSE","FALSE","FALSE","0.955585464333782","743","TRUE","1","non-endemic","distribution in Chile",0,0,0,0,0,0,0,0,"c(""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""graminoid_not_tussock"", ""graminoid_not_tussock"", ""herb"")","NULL","NULL","c(""hydrochory"", ""hydrochory"", ""hydrochory"")"
"510","Hexaspora","1",1,"FALSE","FALSE","FALSE","FALSE","FALSE","1","26","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""tree"", ""tree"", ""tree"", ""tree"", ""shrub"", ""tree"", ""tree"")","NULL","NULL","NULL"
"511","Hicksbeachia","1",2,"FALSE","FALSE","FALSE","FALSE","FALSE","1","1146","FALSE","0","endemic",NA,0,0,1,0,0,0,0,0,"c(""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"")","NULL","NULL","NULL"
"512","Hildegardia","1",1,"FALSE","FALSE","FALSE","TRUE","TRUE","0.966666666666667","30","TRUE","3","non-endemic",NA,0,0,0,0,0,0,0,0,"c(""tree"", ""tree"")","NULL","319.7777778","NULL"
"513","Hippocratea","1",1,"FALSE","FALSE","TRUE","TRUE","TRUE","0.969387755102041","490","TRUE","4","non-endemic",NA,0,0,0,0,0,0,0,0,"c(""climber_woody"", ""climber_woody"", ""climber_herbaceous"", ""climber_herbaceous"", ""climber_herbaceous"", ""climber_herbaceous"", ""climber_woody"", ""climber_woody"", ""climber_woody"", ""climber_woody"", ""climber_woody"")","c(""wings"", ""wings"", ""wing_or_plume"", ""wings"")","41.498","c(""anemochory"", ""anemochory"", ""anemochory"")"
"514","Hodgkinsonia","1",1,"FALSE","FALSE","FALSE","FALSE","FALSE","0.998511904761905","672","FALSE","0","endemic",NA,1,0,0,0,0,0,0,0,"c(""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"")","NULL","NULL","NULL"
"515","Hodgsoniola","1",1,"FALSE","FALSE","FALSE","FALSE","FALSE","0.939393939393939","66","TRUE","1","endemic","ALA data error",0,0,0,0,0,0,0,0,"c(""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"")","NULL","NULL","NULL"
"516","Holcolemma","1",1,"FALSE","FALSE","FALSE","TRUE","FALSE","1","25","FALSE","1","non-endemic","species found in Africa, Asia, Australia",0,0,0,0,0,0,0,0,"c(""tussock"", ""tussock"")","none","NULL","anemochory"
"517","Hollandaea","1",4,"FALSE","FALSE","FALSE","FALSE","TRUE","1","202","FALSE","1","endemic","Indo data error",0,0,0,2,0,0,0,0,"c(""tree"", ""tree"", ""shrub tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""shrub"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""shrub"", ""tree"", ""tree"", ""shrub tree"", ""tree"")","NULL","NULL","NULL"
"518","Homalium","1",3,"FALSE","TRUE","TRUE","TRUE","TRUE","0.687956204379562","548","TRUE","5","non-endemic",NA,1,0,0,0,0,0,0,0,"c(""shrub tree"", ""shrub tree"", ""shrub tree"", ""shrub tree"", ""tree"", ""shrub tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""shrub tree"", ""shrub tree"", ""shrub tree"", ""tree"", ""shrub tree"")","NULL","NULL","NULL"
"519","Homalocalyx","1",11,"FALSE","FALSE","FALSE","FALSE","FALSE","1","977","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""subshrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"")","NULL","c(""2.487"", ""1.5392"", ""1.7212"")","NULL"
"520","Homalosciadium","1",1,"FALSE","FALSE","FALSE","FALSE","FALSE","1","586","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""herb"", ""herb"", ""herb"", ""herb"", ""herb"", ""herb"")","NULL","0.31","NULL"
"521","Homalospermum","1",1,"FALSE","FALSE","FALSE","FALSE","FALSE","1","278","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""tree"", ""shrub"", ""shrub tree"", ""shrub tree"", ""tree"")","NULL","1.0344","NULL"
"522","Homopholis","1",1,"FALSE","FALSE","FALSE","FALSE","FALSE","1","611","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""graminoid herb"", ""herb"", ""graminoid"", ""graminoid_not_tussock"")","NULL","c(""0.9976"", ""1.1016"")","anemochory"
"523","Homoranthus","1",31,"FALSE","FALSE","FALSE","FALSE","FALSE","1","3352","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", 
""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"", ""shrub"")","NULL","2.9868","anemochory"
"524","Hookerochloa","1",2,"FALSE","FALSE","FALSE","FALSE","FALSE","1","1007","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""herb"", ""herb"", ""graminoid herb"", ""graminoid herb"", ""herb"", ""herb"", ""graminoid herb"", ""graminoid herb"", ""tussock"", ""tussock"", ""tussock"", ""tussock"", ""tussock"", ""tussock"", ""tussock"", ""tussock"", ""tussock"", ""tussock"")","none","NULL","c(""epizoochory"", ""epizoochory"", ""epizoochory"", ""epizoochory"", ""epizoochory"", ""epizoochory"", ""epizoochory"", ""anemochory"")"
"525","Hopkinsia","1",2,"FALSE","FALSE","FALSE","FALSE","FALSE","1","92","FALSE","0","endemic",NA,0,0,0,0,0,0,0,0,"c(""graminoid herb"", ""graminoid herb tussock"", ""herb"", ""herb"", ""herb"", ""herb"", ""graminoid herb"", ""graminoid herb"", ""graminoid"", ""graminoid"")","NULL","NULL","NULL"
"526","Horsfieldia","1",1,"FALSE","FALSE","FALSE","TRUE","TRUE","0.652173913043478","920","TRUE","3","non-endemic",NA,0,0,0,0,0,0,0,0,"c(""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"", ""tree"")","NULL","NULL","NULL"
