genus,prop_endemic,species_number,nz,nc,ng,indo,wcvp
Basedowia,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Bauera,1,4,FALSE,FALSE,FALSE,TRUE,FALSE
Baumea,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Baxteria,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Beaufortia,1,22,FALSE,FALSE,FALSE,TRUE,FALSE
Bedfordia,1,3,FALSE,FALSE,FALSE,TRUE,FALSE
Bellendena,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Bellida,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Benthamina,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Bentleya,1,2,FALSE,FALSE,FALSE,TRUE,FALSE
Berberidopsis,1,1,TRUE,FALSE,FALSE,TRUE,TRUE
Bertya,1,28,FALSE,FALSE,FALSE,TRUE,FALSE
Beyeria,1,24,FALSE,FALSE,FALSE,TRUE,FALSE
Billardiera,1,23,FALSE,FALSE,TRUE,TRUE,TRUE
Biophytum,1,1,FALSE,FALSE,FALSE,TRUE,TRUE
Blackallia,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Blancoa,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Blandfordia,1,4,FALSE,FALSE,FALSE,TRUE,FALSE
Bleasdalea,1,1,FALSE,FALSE,FALSE,TRUE,TRUE
Blennodia,1,2,FALSE,FALSE,FALSE,TRUE,FALSE
Blennospora,1,3,FALSE,FALSE,FALSE,TRUE,FALSE
Blepharocarya,1,2,FALSE,FALSE,FALSE,TRUE,FALSE
Bobea,1,1,FALSE,FALSE,FALSE,TRUE,TRUE
Boea,1,2,FALSE,FALSE,FALSE,TRUE,TRUE
Bonamia,1,16,FALSE,FALSE,TRUE,TRUE,TRUE
Boronia,1,152,FALSE,TRUE,FALSE,TRUE,TRUE
Borya,1,12,FALSE,FALSE,FALSE,TRUE,FALSE
Bosistoa,1,4,FALSE,FALSE,FALSE,TRUE,FALSE
Bossiaea,1,79,FALSE,FALSE,FALSE,TRUE,FALSE
Bouchardatia,1,1,FALSE,FALSE,FALSE,TRUE,TRUE
Bowenia,1,2,FALSE,FALSE,FALSE,TRUE,FALSE
Brachyloma,1,16,FALSE,FALSE,FALSE,TRUE,FALSE
Brachypeza,1,1,FALSE,FALSE,FALSE,TRUE,TRUE
Brachyscias,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Brachysola,1,2,FALSE,FALSE,FALSE,TRUE,FALSE
Brackenridgea,1,1,FALSE,FALSE,TRUE,TRUE,TRUE
Brassiantha,1,1,FALSE,FALSE,FALSE,TRUE,TRUE
Brombya,1,2,FALSE,FALSE,FALSE,TRUE,FALSE
Brunonia,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Bubbia,1,4,FALSE,FALSE,FALSE,TRUE,FALSE
Buckinghamia,1,2,FALSE,FALSE,FALSE,TRUE,FALSE
Bulbine,1,7,TRUE,FALSE,TRUE,TRUE,TRUE
Burchardia,1,6,FALSE,FALSE,FALSE,TRUE,FALSE
Burnettia,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Bursaria,1,8,FALSE,FALSE,FALSE,TRUE,FALSE
Cadellia,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Cadetia,1,6,FALSE,FALSE,FALSE,TRUE,FALSE
Calamphoreus,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Calandrinia,1,56,TRUE,FALSE,TRUE,TRUE,TRUE
Calectasia,1,15,FALSE,FALSE,FALSE,TRUE,FALSE
Callicoma,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Callipteris,1,1,FALSE,FALSE,FALSE,TRUE,TRUE
Callistachys,1,1,TRUE,FALSE,FALSE,TRUE,TRUE
Calocephalus,1,12,FALSE,FALSE,FALSE,TRUE,TRUE
Calomeria,1,1,FALSE,FALSE,FALSE,TRUE,TRUE
Calorophus,1,2,FALSE,FALSE,FALSE,TRUE,FALSE
Calostemma,1,3,FALSE,FALSE,FALSE,TRUE,FALSE
Calothamnus,1,41,FALSE,FALSE,TRUE,TRUE,FALSE
Calotis,1,26,TRUE,FALSE,FALSE,TRUE,TRUE
Calycopeplus,1,5,FALSE,FALSE,FALSE,TRUE,FALSE
Calyptochloa,1,3,FALSE,FALSE,FALSE,TRUE,FALSE
Calytrix,1,86,FALSE,FALSE,FALSE,TRUE,FALSE
Camonea,1,1,FALSE,FALSE,FALSE,FALSE,TRUE
Campynema,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Cardwellia,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Carinavalva,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Carmichaelia,1,1,TRUE,FALSE,FALSE,TRUE,TRUE
Carnarvonia,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Carpentaria,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Carronia,1,3,FALSE,FALSE,FALSE,TRUE,TRUE
Caryota,1,1,FALSE,FALSE,FALSE,TRUE,TRUE
Cassia,1,4,TRUE,TRUE,TRUE,TRUE,TRUE
Cassinia,1,46,TRUE,FALSE,FALSE,TRUE,TRUE
Castanospora,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Catacolea,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Catalepidia,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Caustis,1,7,FALSE,FALSE,FALSE,TRUE,FALSE
Celmisia,1,8,TRUE,FALSE,FALSE,TRUE,TRUE
Cenarrhenes,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Centratherum,1,1,FALSE,FALSE,FALSE,TRUE,TRUE
Centropappus,1,1,FALSE,FALSE,FALSE,FALSE,FALSE
Cephalaralia,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Cephalipterum,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Cephalosorus,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Cephalotus,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Ceratogyne,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Chaetanthus,1,3,FALSE,FALSE,FALSE,TRUE,FALSE
Chamaeraphis,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Chamaescilla,1,5,FALSE,FALSE,FALSE,TRUE,FALSE
Chamaexeros,1,4,FALSE,FALSE,FALSE,TRUE,FALSE
Chamelaucium,1,11,TRUE,FALSE,FALSE,TRUE,TRUE
Cheilocostus,1,1,FALSE,FALSE,FALSE,TRUE,TRUE
Cheiranthera,1,10,FALSE,FALSE,FALSE,TRUE,FALSE
Chenopodium,1,9,TRUE,FALSE,TRUE,TRUE,TRUE
Cheyniana,1,2,FALSE,FALSE,FALSE,TRUE,FALSE
Chiloschista,1,1,FALSE,FALSE,FALSE,TRUE,TRUE
Chingia,1,1,FALSE,FALSE,FALSE,TRUE,TRUE
Chionochloa,1,2,TRUE,FALSE,FALSE,TRUE,TRUE
Chlaenosciadium,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Chloanthes,1,4,FALSE,FALSE,FALSE,TRUE,FALSE
Chondropyxis,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Chordifex,1,20,FALSE,FALSE,FALSE,TRUE,FALSE
Choretrum,1,7,FALSE,FALSE,FALSE,TRUE,FALSE
Chorilaena,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Chorizema,1,25,FALSE,FALSE,FALSE,TRUE,TRUE
Chrysitrix,1,1,FALSE,FALSE,TRUE,TRUE,TRUE
Chrysocephalum,1,9,FALSE,FALSE,FALSE,TRUE,FALSE
Chthonocephalus,1,7,FALSE,FALSE,FALSE,TRUE,FALSE
Citronella,1,2,FALSE,TRUE,FALSE,TRUE,TRUE
Citrus,1,6,TRUE,TRUE,FALSE,TRUE,TRUE
Clausospicula,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Clematicissus,1,2,FALSE,FALSE,FALSE,TRUE,TRUE
Clitoria,1,1,FALSE,FALSE,TRUE,TRUE,TRUE
Coatesia,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Codariocalyx,1,1,FALSE,FALSE,FALSE,TRUE,TRUE
Codonocarpus,1,3,FALSE,FALSE,FALSE,TRUE,FALSE
Coix,1,1,TRUE,FALSE,TRUE,TRUE,TRUE
Coleanthera,1,2,FALSE,FALSE,FALSE,TRUE,FALSE
Coleocarya,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Coleocoma,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Colysis,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Comesperma,1,33,FALSE,FALSE,FALSE,TRUE,FALSE
Conospermum,1,52,FALSE,FALSE,FALSE,TRUE,FALSE
Conostephium,1,12,FALSE,FALSE,FALSE,TRUE,FALSE
Conostylis,1,45,FALSE,FALSE,FALSE,TRUE,FALSE
Conothamnus,1,3,FALSE,FALSE,FALSE,TRUE,FALSE
Convolvulus,1,11,TRUE,FALSE,TRUE,TRUE,TRUE
Cooktownia,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Coopernookia,1,6,FALSE,FALSE,FALSE,TRUE,FALSE
Corokia,1,2,TRUE,FALSE,FALSE,TRUE,TRUE
Coronidium,1,21,FALSE,FALSE,FALSE,TRUE,FALSE
Correa,1,11,TRUE,FALSE,FALSE,TRUE,TRUE
Corsia,1,1,FALSE,FALSE,FALSE,TRUE,TRUE
Corynanthera,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Corynotheca,1,6,FALSE,FALSE,FALSE,TRUE,FALSE
Cosmelia,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Cossinia,1,1,FALSE,TRUE,FALSE,TRUE,TRUE
Craspedia,1,19,TRUE,FALSE,FALSE,TRUE,TRUE
Cratystylis,1,4,FALSE,FALSE,FALSE,TRUE,FALSE
Cremnothamnus,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Crenidium,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Cressa,1,1,FALSE,FALSE,FALSE,TRUE,TRUE
Crispiloba,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Cristonia,1,2,FALSE,FALSE,FALSE,TRUE,FALSE
Croninia,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Crosslandia,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Crowea,1,3,FALSE,FALSE,FALSE,TRUE,FALSE
Cryptandra,1,56,TRUE,FALSE,FALSE,TRUE,FALSE
Ctenopteris,1,1,FALSE,FALSE,TRUE,TRUE,FALSE
Cuphonotus,1,2,FALSE,FALSE,FALSE,TRUE,FALSE
Curculigo,1,1,FALSE,TRUE,FALSE,TRUE,TRUE
Cuttsia,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Cyanicula,1,10,FALSE,FALSE,FALSE,FALSE,FALSE
Cyanostegia,1,5,FALSE,FALSE,FALSE,TRUE,FALSE
Cyathochaeta,1,6,FALSE,FALSE,FALSE,TRUE,FALSE
Cyathodes,1,3,FALSE,FALSE,FALSE,TRUE,TRUE
Cyathostemon,1,6,FALSE,FALSE,FALSE,TRUE,FALSE
Cymbidium,1,3,FALSE,FALSE,TRUE,TRUE,TRUE
Cymbonotus,1,3,FALSE,FALSE,FALSE,TRUE,FALSE
Cynodon,1,4,TRUE,TRUE,TRUE,TRUE,TRUE
Cyphanthera,1,9,FALSE,FALSE,FALSE,TRUE,FALSE
Cypselocarpus,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Cyrtandra,1,1,FALSE,TRUE,FALSE,TRUE,TRUE
Cyrtostylis,1,4,TRUE,FALSE,FALSE,TRUE,TRUE
Cytogonidium,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Dactyliophora,1,1,FALSE,FALSE,FALSE,TRUE,TRUE
Dactyloctenium,1,2,TRUE,FALSE,TRUE,TRUE,TRUE
Dallwatsonia,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Damasonium,1,1,FALSE,FALSE,FALSE,TRUE,TRUE
Dampiera,1,68,FALSE,FALSE,FALSE,TRUE,FALSE
Dansiea,1,2,FALSE,FALSE,FALSE,TRUE,FALSE
Daphnandra,1,6,FALSE,FALSE,FALSE,TRUE,FALSE
Darlingia,1,2,FALSE,FALSE,FALSE,TRUE,FALSE
Darwinia,1,51,FALSE,FALSE,FALSE,TRUE,FALSE
Dasymalla,1,5,FALSE,FALSE,FALSE,TRUE,FALSE
Dasypogon,1,3,FALSE,FALSE,FALSE,TRUE,FALSE
Davidsonia,1,3,FALSE,FALSE,FALSE,TRUE,FALSE
Daviesia,1,131,FALSE,FALSE,FALSE,TRUE,FALSE
Debregeasia,1,1,TRUE,FALSE,FALSE,TRUE,TRUE
Decaschistia,1,3,FALSE,FALSE,FALSE,TRUE,TRUE
Decazesia,1,1,FALSE,FALSE,FALSE,TRUE,FALSE
Delarbrea,1,1,FALSE,TRUE,FALSE,TRUE,TRUE
