genus,prop_endemic,species_number,nz,nc,ng,wcvp,indo2,prop_aus,n,ala,rowsums,current_knowledge,reason,Least Concern,Critically Endangered,Endangered,Near Threatened,Vulnerable,Data Deficient,Lower Risk/near threatened,Lower Risk/conservation dependent,Extinct
Akania,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,659,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Alangium,0.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,1,0,0,0,0,0,0,0,0
Alania,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,187,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Albizia,0.2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,2,0,0,1,0,0,0,0,0
Alchemilla,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Alchornea,0.6666666666666666,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,2,0,0,0,0,0,0,0,0
Aldrovanda,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,0.79646017699115,113,TRUE,2,non-endemic,NA,0,0,1,0,0,0,0,0,0
Alectryon,0.8,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,9,0,1,1,0,1,0,0,0
Aleurites,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,2,0,0,0,0,0,0,0,0
Alexfloydia,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,107,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Alexgeorgea,1,3,FALSE,FALSE,FALSE,FALSE,FALSE,1,486,FALSE,0,endemic,NA,1,0,0,0,0,0,0,0,0
Alisma,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,1,0,0,0,0,0,0,0,0
Allittia,1,2,FALSE,FALSE,FALSE,FALSE,FALSE,1,1237,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Allocasuarina,1,61,TRUE,FALSE,FALSE,TRUE,FALSE,0.999138498022251,107951,FALSE,2,non-endemic,NA,7,0,0,0,2,0,0,0,0
Allophylus,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Allopterigeron,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,138,FALSE,0,endemic,NA,0,0,0,0,0,0,0,0,0
Allosyncarpia,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,1,403,FALSE,0,endemic,NA,0,0,0,0,0,1,0,0,0
Alloteropsis,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Alloxylon,0.6666666666666666,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,1,0,0,0,1,0,0,0,0
Almaleea,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,1,2507,FALSE,0,endemic,NA,0,0,0,0,1,0,0,0,0
Alocasia,0.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Alphitonia,0.6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,2,0,0,0,0,0,0,0,0
Alpinia,0.8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,0,0,0,0,0,0,0,0,0
Alstonia,0.3333333333333333,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,3,0,0,0,0,0,0,0,0
Alternanthera,0.3333333333333333,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-endemic,NA,1,0,0,0,0,0,0,0,0
