Family,Genus,Sp1,Author1,Rank1,Sp2,Author2,Rank2,Sp3,Author3,TaxStat,Accepted,Ecology
Hypoxidaceae,Spiloxene,monophylla,(Schltr. ex Baker) Garside,,,,,,,Synonym,Pauridia monophylla (Schltr. ex Baker) Snijman & Kocyan,Indigenous; Endemic
Urticaceae,Forsskaolea,hereroensis,Schinz,,,,,,,Accepted,,Indigenous
Asteraceae,Senecio,klinghardtianus,Dinter,,,,,,,Synonym,Curio sulcicalyx (N.E.Br.) P.V.Heath,Indigenous
Lamiaceae,Syncolostemon,parviflorus,E.Mey. ex Benth.,,,,,,,Inclusive,,Indigenous
Proteaceae,Mimetes,chrysanthus,Rourke,,,,,,,Accepted,,Indigenous; Endemic
Cyperaceae,Rhynchospora,rubra,(Lour.) Makino,,,,,,,Inclusive,,Indigenous
Proteaceae,Leucadendron,abietinum,R.Br.,,,,,,,Synonym,Leucadendron teretifolium (Andrews) I.Williams,Indigenous
Asphodelaceae,Haworthia,elizeae,Breuer,,,,,,,Synonym,Haworthia rossouwii Poelln. var. elizeae (Breuer) M.B.Bayer,Indigenous; Endemic
Iridaceae,Xenoscapa,fistulosa,(Spreng. ex Klatt) Goldblatt & J.C.Manning,,,,,,,Accepted,,Indigenous
Zygophyllaceae,Zygophyllum,leucocladum,Diels,,,,,,,Synonym,Roepera leucoclada (Diels) Beier & Thulin,Indigenous
Iridaceae,Babiana,toximontana,J.C.Manning & Goldblatt,,,,,,,Accepted,,Indigenous; Endemic
Iridaceae,Moraea,hirsuta,(Licht. ex Roem. & Schult.) Ker Gawl.,,,,,,,Synonym,Moraea papilionacea (L.f.) Ker Gawl.,Indigenous
Asphodelaceae,Bulbine,latifolia,(L.f.) Spreng.,var.,latifolia,,,,,Accepted,,Indigenous; Endemic
Asteraceae,Waitzia,refracta,(Jacq.) Heynh.,,,,,,,Synonym,Freesia refracta (Jacq.) Klatt,Indigenous
Geraniaceae,Monsonia,sp.,,,,,,,,Genus level,,
Apiaceae,Hermas,pillansii,C.Norman,,,,,,,Synonym,Hermas lanata (Hill) Magee,Indigenous; Endemic
Convolvulaceae,Ipomoea,bathycolpos,Hallier f.,,,,,,,Accepted,,Indigenous; Endemic
Ericaceae,Erica,leptopus,Benth.,var.,leptopus,,,,,Accepted,,Indigenous; Endemic
Fabaceae,Cassia,multiglandulosa,Jacq.,,,,,,,Synonym,Senna multiglandulosa (Jacq.) H.S.Irwin & Barneby,Not indigenous
Iridaceae,Gladiolus,brevitubus,G.J.Lewis,,,,,,,Accepted,,Indigenous; Endemic
Santalaceae,Thesium,litoreum,Brenan,,,,,,,Accepted,,Indigenous; Endemic
Oxalidaceae,Oxalis,crispula,Sond.,,,,,,,Accepted,,Indigenous; Endemic
Scrophulariaceae,Buddleja,auriculata,Benth.,,,,,,,Accepted,,Indigenous
Aizoaceae,Conophytum,leightoniae,L.Bolus,,,,,,,Synonym,Conophytum piluliforme (N.E.Br.) N.E.Br. subsp. piluliforme,Present
Aizoaceae,Conophytum,subacutum,L.Bolus,,,,,,,Synonym,Conophytum bilobum (Marloth) N.E.Br. subsp. bilobum   var. bilobum,Present
Iridaceae,Romulea,macowanii,Baker,var.,oreophila,M.P.de Vos,,,,Accepted,,Indigenous
Brassicaceae,Sisymbrium,capense,Thunb.,,,,,,,Accepted,,Indigenous
Ulmaceae,Ulmus,parvifolia,Jacq.,,,,,,,Accepted,,Not indigenous; Cultivated; Naturalised; Invasive
Colchicaceae,Colchicum,capense,(L.) J.C.Manning & Vinn.,,,,,,,Inclusive,,Indigenous; Endemic
Apocynaceae,Cynanchum,sp.,,,,,,,,Genus level,,
Orchidaceae,Cheirostylis,nuda,(Thouars) Ormerod,,,,,,,Accepted,,Indigenous
