Family,Genus,Sp1,Author1,Rank1,Sp2,Author2,Rank2,Sp3,Author3,TaxStat,Accepted,Ecology
Malvaceae,Hermannia,flammula,Harv.,,,,,,,Accepted,,Indigenous; Endemic
Gesneriaceae,Streptocarpus,wendlandii,Spreng.,,,,,,,Accepted,,Indigenous; Endemic
Ericaceae,Erica,foliacea,Andrews,,,,,,,Inclusive,,Indigenous; Endemic
Fabaceae,Tephrosia,rhodesica,Baker f.,var.,evansii,(Hutch. & Burtt Davy) Brummitt,,,,Accepted,,Indigenous
Cyperaceae,Carex,ovalis,Gooden.,,,,,,,Accepted,,Not indigenous; Naturalised
Euphorbiaceae,Euphorbia,polygona,Haw.,var.,alba,D.H.Schnabel,,,,Synonym,Euphorbia polygona Haw.,Indigenous; Endemic
Stilbaceae,Anastrabe,sp.,,,,,,,,Genus level,,
Brassicaceae,Heliophila,crithmifolia,Eckl. & Zeyh.,,,,,,,Synonym,Heliophila carnosa (Thunb.) Steud.,
Rhamnaceae,Phylica,lachneaeoides,Pillans,,,,,,,Accepted,,Indigenous; Endemic
Sapindaceae,Blighia,zambesiaca,Baker,,,,,,,Synonym,Blighia unijugata Baker,Indigenous
Apocynaceae,Aulostephanus,natalensis,Schltr.,,,,,,,Synonym,"Anisotoma natalensis (Schltr.) Meve, Heiduk & Liede",Indigenous
Asteraceae,Schistostephium,scandens,Hutch.,,,,,,,Synonym,Schistostephium crataegifolium (DC.) Fenzl ex Harv.,Indigenous; Endemic
Poaceae,Sporobolus,subulatus,Hack.,,,,,,,Accepted,,Indigenous
Apocynaceae,Ceropegia,connivens,R.A.Dyer,forma,angustata,R.A.Dyer,,,,Synonym,Ceropegia fimbriata E.Mey. subsp. connivens (R.A.Dyer) Bruyns,Indigenous
Fabaceae,Aspalathus,tridentata,L.,subsp.,tridentata,,,,,Accepted,,Indigenous; Endemic
Hyacinthaceae,Scilla,undulatifolia,Poelln.,,,,,,,Synonym,Ledebouria undulata (Jacq.) Jessop ex Willd.,
Acanthaceae,Barleria,bremekampii,Oberm.,,,,,,,Accepted,,Indigenous
Iridaceae,Gladiolus,permeabilis,D.Delaroche,subsp.,wilsonii,(Baker) G.J.Lewis,,,,Synonym,Gladiolus wilsonii (Baker) Goldblatt & J.C.Manning,Present
Ericaceae,Erica,lanata,Andrews,,,,,,,Accepted,,Indigenous; Endemic
Orchidaceae,Angraecum,aphyllum,Thouars,,,,,,,Synonym,Microcoelia aphylla (Thouars) Summerh.,Indigenous
Apocynaceae,Gomphocarpus,filiformis,(E.Mey.) D.Dietr.,,,,,,,Accepted,,Indigenous
Asteraceae,Ursinia,nana,DC.,,,,,,,Inclusive,,Indigenous
Aizoaceae,Delosperma,mariae,L.Bolus,,,,,,,Accepted,,Indigenous; Endemic
Asphodelaceae,Kniphofia,rooperi,(T.Moore) Lem.,,,,,,,Accepted,,Indigenous; Endemic
Dioscoreaceae,Dioscorea,hurteri,R.Hills & Wilkin,,,,,,,Accepted,,Indigenous; Endemic
Haloragaceae,Serpicula,repens,L.,,,,,,,Synonym,Laurembergia repens P.J.Bergius,
Fabaceae,Dichrostachys,nutans,(Pers.) Benth.,,,,,,,Synonym,Dichrostachys cinerea (L.) Wight & Arn. subsp. africana Brenan & Brummitt var. africana,
Rubiaceae,Sericanthe,andongensis,(Hiern) Robbr.,,,,,,,Inclusive,,Indigenous
Asteraceae,Arctotis,decumbens,Thunb.,,,,,,,Synonym,Arctotis stoechadifolia P.J.Bergius,Indigenous
Scrophulariaceae,Sutera,kraussiana,(Bernh.) Hiern,,,,,,,Synonym,Jamesbrittenia kraussiana (Bernh.) Hilliard,Present
Aizoaceae,Ruschia,mutata,G.D.Rowley,,,,,,,Accepted,,Indigenous; Endemic
Iridaceae,Gladiolus,lineatus,Salisb.,,,,,,,Synonym,Tritonia gladiolaris (Lam.) Goldblatt & J.C.Manning,Indigenous
Aizoaceae,Lampranthus,paardebergensis,(L.Bolus) L.Bolus,,,,,,,Synonym,Oscularia paardebergensis (L.Bolus) H.E.K.Hartmann,Present
Asphodelaceae,Haworthia,coarctata,Haw.,subsp.,coarctata,,var.,greenii,(Baker) M.B.Bayer,Synonym,Hesperantha coarctata (Haw.) G.D.Rowley var. coarctata,Indigenous
Fabaceae,Rhynchosia,vendae,C.H.Stirt.,,,,,,,Accepted,,Indigenous; Endemic
Agapanthaceae,Agapanthus,dyeri,F.M.Leight.,,,,,,,Synonym,Agapanthus inapertus Beauverd subsp. intermedius F.M.Leight.,Indigenous
Fabaceae,Trifolium,subterraneum,L.,var.,subterraneum,,,,,Accepted,,Not indigenous; Naturalised
Asphodelaceae,Haworthia,archeri,W.F.Barker ex M.B.Bayer,var.,dimorpha,M.B.Bayer,,,,Synonym,Haworthia marumiana Uitewaal var. dimorpha (M.B.Bayer) M.B.Bayer,Indigenous
Cyperaceae,Elynanthus,sylvaticus,Nees,,,,,,,Synonym,Schoenus auritus (Nees) T.L.Elliott & Muasya,Indigenous
Asphodelaceae,Haworthia,pentagona,(Aiton) Haw.,,,,,,,Synonym,Astroloba spiralis (L.) Uitewaal,Indigenous
Asteraceae,Pteronia,candollei,Harv.,,,,,,,Synonym,Pteronia glauca Thunb.,Indigenous
Anacardiaceae,Rhus,rehmanniana,Engl.,var.,glabrata,(Sond.) Moffett,,,,Synonym,Searsia rehmanniana (Engl.) Moffett var. glabrata (Sond.) Moffett,Indigenous
Orchidaceae,Gastrodia,sp.,,,,,,,,Genus level,,
Aizoaceae,Malephora,flavo-crocea,(Haw.) H.Jacobsen & Schwantes,,,,,,,Accepted,,Indigenous; Endemic
Fabaceae,Lotononis,lenticula,(E.Mey.) Benth.,,,,,,,Accepted,,Indigenous; Endemic
Apocynaceae,Brachystelma,mafekingense,N.E.Br.,,,,,,,Synonym,Ceropegia mafekingensis (N.E.Br.) R.A.Dyer,Indigenous
Asphodelaceae,Aloe,pallidiflora,A.Berger,,,,,,,Synonym,Aloe greatheadii Schonland,
Poaceae,Sporobolus,transvaalensis,Gooss.,,,,,,,Synonym,Sporobolus albicans (Nees ex Trin.) Nees,Present
Crassulaceae,Tylecodon,hirtifolius,(W.F.Barker) Toelken,,,,,,,Accepted,,Indigenous; Endemic
Iridaceae,Moraea,papilionacea,(L.f.) Ker Gawl.,subsp.,papilionacea,,,,,Accepted,,Indigenous; Endemic
Ericaceae,Erica,copiosa,J.C.Wendl.,,,,,,,Inclusive,,Indigenous
Asteraceae,Metalasia,pungens,D.Don,,,,,,,Accepted,,Indigenous; Endemic
Asteraceae,Stephanopappus,reflexus,(Thunb.) Less.,,,,,,,Synonym,Nestlera biennis (Jacq.) Spreng.,Indigenous
Aizoaceae,Carpobrotus,fourcadei,L.Bolus,var.,fourcadei,,,,,Synonym,Carpobrotus deliciosus (L.Bolus) L.Bolus,Present
Fabaceae,Lotononis,laticeps,B.-E.van Wyk,,,,,,,Synonym,Leobordea laticeps (B.-E.van Wyk) B.-E.van Wyk & Boatwr.,Indigenous; Endemic
Begoniaceae,Begonia,sonderiana,Irmsch.,var.,transgrediens,Irmsch.,,,,Synonym,Begonia sonderiana Irmsch.,Indigenous
Asphodelaceae,Haworthia,minima,Baker,,,,,,,Synonym,Haworthia cooperi Baker var. tenera (Poelln.) M.B.Bayer,Indigenous
Anacardiaceae,Rhus,coriacea,Engl.,,,,,,,Synonym,Searsia magalismontana (Sond.) Moffett subsp. magalismontana,Present
Aizoaceae,Delosperma,wilmaniae,Lavis,,,,,,,Accepted,,Indigenous; Endemic
Molluginaceae,Polpoda,capensis,C.Presl,,,,,,,Accepted,,Indigenous; Endemic
Aizoaceae,Mesembryanthemum,lectum,N.E.Br.,,,,,,,Synonym,Cheiridopsis robusta (Haw.) N.E.Br.,
Asteraceae,Arctotis,semipapposa,(DC.) Beauverd,var.,angustifolia,(DC.) K.Lewin,,,,Synonym,Arctotis scabra Thunb.,Indigenous
Rutaceae,Agathosma,cordifolia,Pillans,,,,,,,Accepted,,Indigenous; Endemic
Amaryllidaceae,Nerine,lucida,Herb.,,,,,,,Synonym,Nerine laticoma (Ker Gawl.) T.Durand & Schinz,
Aizoaceae,Mesembryanthemum,julii,Dinter & Schwantes,,,,,,,Synonym,Lithops julii (Dinter & Schwantes) N.E.Br.,
Aizoaceae,Dinteranthus,punctatus,L.Bolus,,,,,,,Synonym,Dinteranthus puberulus N.E.Br.,Indigenous
Proteaceae,Leucospermum,puberum,(L.) R.Br.,,,,,,,Synonym,Leucospermum calligerum (Salisb. ex Knight) Rourke,Indigenous
Commelinaceae,Commelina,livingstonii,C.B.Clarke,,,,,,,Accepted,,Indigenous
Asteraceae,Arrowsmithia,sororis,(Compton) N.G.Bergh,,,,,,,Accepted,,Indigenous
Asteraceae,Helichrysum,hamulosum,E.Mey. ex DC.,,,,,,,Accepted,,Indigenous; Endemic
Fabaceae,Aspalathus,aspalathoides,(L.) R.Dahlgren,,,,,,,Accepted,,Indigenous; Endemic
Lamiaceae,Stachys,cuneata,Banks ex Benth.,,,,,,,Accepted,,Indigenous; Endemic
Proteaceae,Nivenia,capitata,R.Br.,,,,,,,Synonym,Paranomus capitatus (R.Br.) Kuntze,Indigenous
Hyacinthaceae,Pseudogaltonia,subspicata,Baker,,,,,,,Synonym,Pseudogaltonia clavata (Mast.) E.Phillips,
Lamiaceae,Hemizygia,persimilis,(N.E.Br.) M.Ashby,,,,,,,Synonym,Syncolostemon persimilis (N.E.Br.) D.F.Otieno,Indigenous
Cyperaceae,Schoenus,aureus,T.L.Elliott & Muasya,,,,,,,Accepted,,Indigenous; Endemic
Ericaceae,Erica,parviflora,L.,var.,glabra,Compton,,,,Accepted,,Indigenous; Endemic
Celastraceae,Gymnosporia,putterlickioides,Loes.,subsp.,putterlickioides,,,,,Accepted,,Indigenous
Poaceae,Dactylis,sp.,,,,,,,,Genus level,,
Cucurbitaceae,Kedrostis,nana,(Lam.) Cogn.,var.,nana,,,,,Accepted,,Indigenous; Endemic
Amaryllidaceae,Strumaria,tenella,(L.f.) Snijman,,,,,,,Inclusive,,Indigenous
Apocynaceae,Trichocaulon,cinereum,Pillans,,,,,,,Synonym,Larryleachia perlata (Dinter) Plowes,Present
Asphodelaceae,Haworthia,pentagona,Haw.,var.,spirella,(Haw.) Parr,,,,Synonym,Astroloba spiralis (L.) Uitewaal,Indigenous
Asteraceae,Dymondia,sp.,,,,,,,,Genus level,,
Asteraceae,Gnaphalium,hispidum,L.f.,,,,,,,Synonym,Elytropappus hispidus (L.f.) Druce,Indigenous
Iridaceae,Romulea,viridibracteata,M.P.de Vos,,,,,,,Accepted,,Indigenous; Endemic
Myrtaceae,Eucalyptus,camaldulensis,Dehnh.,,,,,,,Inclusive,,Not indigenous; Cultivated; Naturalised; Invasive
Asteraceae,Othonna,cyclophylla,Merxm.,,,,,,,Accepted,,Indigenous
Asparagaceae,Asparagus,intricatus,(Oberm.) Fellingham & N.L.Mey.,,,,,,,Accepted,,Indigenous; Endemic
Asteraceae,Senecio,serratuloides,DC.,,,,,,,Accepted,,Indigenous
Thymelaeaceae,Gnidia,microcephala,Meisn.,,,,,,,Synonym,Lasiosiphon microcephalus (Meisn.) J.C.Manning & Magee,Indigenous
Liliaceae,Scillopsis,lucida,(Ker Gawl.) Lem.,,,,,,,Synonym,Lachenalia pallida Aiton,Indigenous
Euphorbiaceae,Adenocline,violifolia,(Kuntze) Prain,,,,,,,Accepted,,Indigenous; Endemic
Iridaceae,Gladiolus,violaceolineatus,G.J.Lewis,,,,,,,Accepted,,Indigenous; Endemic
Lobeliaceae,Cyphia,crenata,(Thunb.) C.Presl,,,,,,,Accepted,,Indigenous; Endemic
Zygophyllaceae,Zygophyllum,teretifolium,Schltr.,,,,,,,Synonym,Roepera teretifolia (Schltr.) Beier & Thulin,Indigenous; Endemic
Aytoniaceae,Plagiochasma,rupestre,(J.R.Forst. & G.Forst.) Steph.,var.,rupestre,,,,,Accepted,,Indigenous
Molluginaceae,Hypertelis,caespitosa,Friedrich,,,,,,,Synonym,Kewa caespitosa (Friedrich) Christenh.,Indigenous
Brassicaceae,Lepidium,pinnatum,Thunb.,,,,,,,Accepted,,Indigenous; Endemic
Fabaceae,Acacia,caffra,(Thunb.) Willd.,var.,campylacantha,(Hochst. ex A.Rich.) Aubrev.,,,,Synonym,Senegalia polyacantha (Willd.) Seigler & Ebinger subsp. campylacantha (Hochst. ex A.Rich.) Kyal. & B,Indigenous
Ericaceae,Erica,albescens,Klotzsch ex Benth.,var.,albescens,,,,,Accepted,,Indigenous; Endemic
Fabaceae,Psoralea,sp.,,,,,,,,Genus level,,
Asteraceae,Polyarrhena,prostrata,Grau,subsp.,prostrata,,,,,Accepted,,Indigenous; Endemic
Campanulaceae,Clintonia,bergiana,(Cham.) G.Don,,,,,,,Synonym,Grammatotheca bergiana (Cham.) C.Presl,Indigenous
Scrophulariaceae,Jamesbrittenia,aridicola,Hilliard,,,,,,,Accepted,,Indigenous
Myricaceae,Myrica,brevifolia,E.Mey. ex C.DC.,,,,,,,Synonym,Morella brevifolia (E.Mey. ex C.DC.) Killick,Present
Gymnomitriaceae,Marsupella,sp.,,,,,,,,Genus level,,
Apocynaceae,Microloma,campanulatum,Wanntorp,,,,,,,Synonym,Microloma armatum (Thunb.) Schltr. var. armatum,Present
Caryophyllaceae,Silene,crassifolia,L.,subsp.,crassifolia,,,,,Accepted,,Indigenous; Endemic
Apocynaceae,Piaranthus,foetidus,N.E.Br.,var.,diversus,N.E.Br.,,,,Synonym,Piaranthus geminatus (Masson) N.E.Br. subsp. geminatus,Present
Hyacinthaceae,Lachenalia,variegata,W.F.Barker,,,,,,,Accepted,,Indigenous; Endemic
Fabaceae,Pearsonia,cajanifolia,(Harv.) Polhill,subsp.,cryptantha,(Baker) Polhill,,,,Accepted,,Indigenous
Crassulaceae,Adromischus,humilis,(Marloth) Poelln.,,,,,,,Accepted,,Indigenous; Endemic
Proteaceae,Leucadendron,concolor,R.Br.,,,,,,,Synonym,Leucadendron strobilinum (L.) Druce,Indigenous
Fabaceae,Lotononis,strigillosa,(Merxm. & A.Schreib.) A.Schreib.,,,,,,,Accepted,,Indigenous
Asphodelaceae,Aloe,plicatilis,(L.) Mill.,,,,,,,Synonym,Kumara plicatilis (L.) G.D.Rowley,Indigenous; Endemic
Aizoaceae,Conicosia,pugioniformis,(L.) N.E.Br.,subsp.,muiri,(N.E.Br.) Ihlenf. & Gerbaulet,,,,Accepted,,Indigenous; Endemic
Agavaceae,Chlorophytum,namaquense,Schltr. ex Poelln.,,,,,,,Accepted,,Indigenous
Cytinaceae,Cytinus,sp.,,,,,,,,Genus level,,
Lejeuneaceae,Lejeunea,villaumei,(Steph.) Grolle,,,,,,,Accepted,,Indigenous
Hyacinthaceae,Ledebouria,undulata,(Jacq.) Jessop ex Willd.,,,,,,,Accepted,,Indigenous
Apocynaceae,Xysmalobium,undulatum,(L.) W.T.Aiton,var.,ensifolium,Burch. ex Scott-Elliot,,,,Accepted,,Indigenous
Ruscaceae,Eriospermum,subincanum,P.L.Perry,,,,,,,Accepted,,Indigenous; Endemic
Cyperaceae,Epischoenus,complanatus,Levyns,,,,,,,Synonym,Schoenus complanatus (Levyns) T.L.Elliott & Muasya,Indigenous; Endemic
Asphodelaceae,Haworthia,planifolia,Haw.,var.,transiens,Poelln.,,,,Synonym,Haworthia transiens (Poelln.) M.Hayashi,Indigenous
Asteraceae,Leucoptera,subcarnosa,B.Nord.,,,,,,,Accepted,,Indigenous; Endemic
Iridaceae,Bobartia,anceps,Baker,,,,,,,Synonym,Bobartia macrospatha Baker subsp. anceps (Baker) Strid,Indigenous
Iridaceae,Gladiolus,carinatus,Aiton,,,,,,,Accepted,,Indigenous; Endemic
Euphorbiaceae,Euphorbia,nelii,"A.C.White, R.A.Dyer & B.Sloane",,,,,,,Synonym,Euphorbia filiflora Marloth,Indigenous
Fabaceae,Leobordea,arida,(Dummer) B.-E.van Wyk & Boatwr.,,,,,,,Accepted,,Indigenous; Endemic
Aizoaceae,Conophytum,intermedium,L.Bolus,,,,,,,Synonym,Conophytum loescheanum Tischer,Present
Poaceae,Rottboellia,sp.,,,,,,,,Genus level,,
Solanaceae,Lycium,mascarenense,A.M.Venter & A.J.Scott,,,,,,,Accepted,,Indigenous
Aizoaceae,Phyllobolus,canaliculatus,(Haw.) Bittrich,,,,,,,Synonym,Mesembryanthemum canaliculatum Haw.,Indigenous; Endemic
Cyperaceae,Cyperus,austro-africanus,C.Archer & Goetgh.,,,,,,,Accepted,,Indigenous
Aizoaceae,Perapentacoilanthus,grossus,(Aiton) Rappa & Camarrone,,,,,,,Synonym,Mesembryanthemum grossum Aiton,Indigenous
Aizoaceae,Delosperma,pachyrhizum,L.Bolus,,,,,,,Accepted,,Indigenous; Endemic
Iridaceae,Sophronia,fasciculata,Licht. ex Roem. & Schult.,,,,,,,Synonym,Lapeirousia plicata (Jacq.) Diels subsp. plicata,Present
Apocynaceae,Stapelia,bisulca,(Haw.) Schult.,,,,,,,Synonym,Orbea variegata (L.) Haw.,Indigenous
Malvaceae,Sida,acuta,Burm.f.,,,,,,,Inclusive,,Indigenous
Amaryllidaceae,Namaquanula,bruce-bayeri,D.Mull.-Doblies & U.Mull.-Doblies,,,,,,,Accepted,,Indigenous
Aizoaceae,Astridia,vanheerdei,L.Bolus,,,,,,,Accepted,,Indigenous; Endemic
Geraniaceae,Pelargonium,bubonifolium,(Andrews) Pers.,,,,,,,Accepted,,Indigenous
Fabaceae,Acacia,kwebensis,N.E.Br.,,,,,,,Synonym,Senegalia erubescens (Welw. ex Oliv.) Kyal. & Boatwr.,
Bruniaceae,Raspalia,sp.,,,,,,,,Genus level,,
Aizoaceae,Drosanthemum,papillatum,L.Bolus,,,,,,,Accepted,,Indigenous; Endemic
Oleaceae,Olea,aucheri,A.Chev. ex Ehrend.,,,,,,,Synonym,Olea europaea L. subsp. cuspidata (Wall. ex G.Don) Cif.,
Scrophulariaceae,Chaenostoma,roseoflavum,(Hiern) Kornhall,,,,,,,Accepted,,Indigenous; Endemic
Amaryllidaceae,Haemanthus,magnificus,(Herb.) Herb.,forma,gumbletonii,(Baker) Traub,,,,Synonym,Scadoxus puniceus (L.) Friis & Nordal,Indigenous
Iridaceae,Ixia,pauciflora,G.J.Lewis,,,,,,,Accepted,,Indigenous; Endemic
Asteraceae,Senecio,gregatus,Hilliard,,,,,,,Accepted,,Indigenous
Asteraceae,Helianthus,debilis,Nutt.,,,,,,,Inclusive,,Not indigenous; Naturalised
Lycopodiaceae,Huperzia,sp.,,,,,,,,Genus level,,
Aizoaceae,Oophytum,sp.,,,,,,,,Genus level,,
Amaranthaceae,Chenopodium,carinatum,R.Br.,,,,,,,Synonym,Dysphania carinata (R.Br.) Mosyakin & Clemants,Not indigenous; Naturalised
Asphodelaceae,Bulbinella,chartacea,P.L.Perry,,,,,,,Accepted,,Indigenous; Endemic
Asteraceae,Helichrysum,refractum,Hilliard,,,,,,,Accepted,,Indigenous; Endemic
Rutaceae,Agathosma,dregeana,Sond.,,,,,,,Accepted,,Indigenous; Endemic
Proteaceae,Serruria,ascendens,(Lam.) R.Br.,,,,,,,Accepted,,Indigenous; Endemic
Scrophulariaceae,Diclis,rotundifolia,(Hiern) Hilliard & B.L.Burtt,,,,,,,Accepted,,Indigenous
Apocynaceae,Orbea,clypeata,(Donn ex Jacq.) Haw.,,,,,,,Synonym,Orbea variegata (L.) Haw.,Indigenous
Aizoaceae,Conophytum,corculum,Schwantes,,,,,,,Synonym,Conophytum meyeri N.E.Br.,Present
Fabaceae,Decorsea,galpinii,(Burtt Davy) Verdc.,,,,,,,Accepted,,Indigenous; Endemic
Iridaceae,Crocosmia,mathewsiana,(L.Bolus) Goldblatt ex M.P.de Vos,,,,,,,Accepted,,Indigenous; Endemic
Aizoaceae,Glottiphyllum,marlothii,Schwantes,,,,,,,Synonym,Glottiphyllum depressum (Haw.) N.E.Br.,Indigenous
Asteraceae,Senecio,microspermus,DC.,,,,,,,Accepted,,Indigenous; Endemic
Rutaceae,Zanthoxylum,sp.,,,,,,,,Genus level,,
Asteraceae,Webbia,hirsuta,DC.,,,,,,,Synonym,Hilliardiella hirsuta (DC.) H.Rob.,Indigenous
Iridaceae,Geissorhiza,sufflava,Goldblatt & J.C.Manning,,,,,,,Accepted,,Indigenous; Endemic
Fabaceae,Pterocarpus,rotundifolius,(Sond.) Druce,subsp.,rotundifolius,,,,,Accepted,,Indigenous
Campanulaceae,Microcodon,glomeratus,A.DC.,,,,,,,Accepted,,Indigenous; Endemic
Ranunculaceae,Knowltonia,transvaalensis,Szyszyl.,var.,transvaalensis,,,,,Synonym,Anemone transvaalensis (Szyszyl.) Burtt Davy var. transvaalensis,Indigenous
Fabaceae,Amphithalea,ericifolia,(L.) Eckl. & Zeyh.,subsp.,scoparia,Granby,,,,Accepted,,Indigenous; Endemic
Phyllanthaceae,Phyllanthus,polyspermus,Schumach.,,,,,,,Accepted,,Indigenous
Hyacinthaceae,Eucomis,autumnalis,(Mill.) Chitt.,subsp.,clavata,(Baker) Reyneke,,,,Accepted,,Indigenous
Hyacinthaceae,Lachenalia,concordiana,Schltr. ex W.F.Barker,,,,,,,Accepted,,Indigenous; Endemic
Asphodelaceae,Aloe,translucens,Haw.,,,,,,,Synonym,Haworthia herbacea (Mill.) Stearn var. herbacea,Indigenous
Cyperaceae,Abildgaardia,hispidula,(Vahl) Lye,,,,,,,Synonym,Bulbostylis hispidula (Vahl) R.W.Haines,Indigenous
Ericaceae,Erica,kraussiana,Klotzsch,,,,,,,Accepted,,Indigenous; Endemic
Anacardiaceae,Rhus,transvaalensis,Engl.,,,,,,,Synonym,Searsia transvaalensis (Engl.) Moffett,Indigenous
Iridaceae,Tritonia,tenuiflora,(Vahl) Ker Gawl.,,,,,,,Synonym,Ixia paniculata D.Delaroche,Indigenous
Aizoaceae,Gibbaeum,pubescens,(Haw.) N.E.Br.,,,,,,,Accepted,,Indigenous; Endemic
Acanthaceae,Peristrophe,natalensis,T.Anderson,,,,,,,Synonym,Dicliptera cernua (Hook.f. ex Nees) J.C.Manning & Goldblatt,Indigenous
Asteraceae,Platycarpha,sp.,,,,,,,,Genus level,,
Asteraceae,Elephantopus,mollis,Kunth,,,,,,,Accepted,,Not indigenous; Naturalised; Invasive
Caryophyllaceae,Dianthus,namaensis,Schinz,,,,,,,Inclusive,,Indigenous
Rubiaceae,Pavetta,tristis,Bremek.,,,,,,,Synonym,Pavetta lanceolata Eckl.,Present
Apocynaceae,Riocreuxia,bolusii,N.E.Br.,,,,,,,Synonym,Riocreuxia torulosa (E.Mey.) Decne. var. bolusii (N.E.Br.) Masinde,Indigenous; Endemic
Rubiaceae,Oldenlandia,corymbosa,L.,,,,,,,Inclusive,,Indigenous
Cyperaceae,Carex,huttoniana,Kuk.,,,,,,,Synonym,Carex zuluensis C.B.Clarke,Indigenous
Hyacinthaceae,Urginea,exuviata,(Jacq.) Steinh.,,,,,,,Synonym,Drimia exuviata (Jacq.) Jessop,Indigenous
Euphorbiaceae,Euphorbia,phylloclada,Boiss.,,,,,,,Accepted,,Indigenous
Apocynaceae,Jasminonerium,bispinosum,(L.) Kuntze,,,,,,,Synonym,Carissa bispinosa (L.) Desf. ex Brenan,Indigenous
Hypoxidaceae,Pauridia,capensis,(L.) Snijman & Kocyan,,,,,,,Accepted,,Indigenous; Endemic
Ericaceae,Erica,nidularia,Lodd.,,,,,,,Accepted,,Indigenous
Crassulaceae,Crassula,rogersii,Schonland,,,,,,,Accepted,,Indigenous; Endemic
Ericaceae,Erica,keetii,L.Bolus,,,,,,,Accepted,,Indigenous; Endemic
Cyperaceae,Carex,glomerata,Thunb.,,,,,,,Synonym,Carex glomerabilis V.I.Krecz.,Not indigenous; Naturalised
Aizoaceae,Octopoma,conjunctum,(L.Bolus) L.Bolus,,,,,,,Synonym,Schlechteranthus connatus (L.Bolus) R.F.Powell,Indigenous
Bruniaceae,Staavia,verticillata,(L.f.) Pillans,,,,,,,Accepted,,Indigenous; Endemic
Asphodelaceae,Bulbinella,nutans,(Thunb.) T.Durand & Schinz,var.,turfosicola,P.L.Perry,,,,Synonym,Bulbinella nutans (Thunb.) T.Durand & Schinz subsp. turfosicola (P.L.Perry) P.L.Perry,Indigenous
Aizoaceae,Cheiridopsis,multiseriata,L.Bolus,,,,,,,Synonym,Cheiridopsis robusta (Haw.) N.E.Br.,
Fabaceae,Indigofera,digitata,Thunb.,,,,,,,Accepted,,Indigenous; Endemic
Fabaceae,Eriosema,salignum,E.Mey.,,,,,,,Accepted,,Indigenous
Bruniaceae,Brunia,teres,Oliv.,,,,,,,Synonym,Thamnea teres (Oliv.) Class.-Bockh. & E.G.H.Oliv.,Indigenous; Endemic
Rutaceae,Diosma,oppositifolia,L.,,,,,,,Accepted,,Indigenous; Endemic
Orthotrichaceae,Macromitrium,sulcatum,(Hook.) Brid.,,,,,,,Accepted,,Indigenous
Bruniaceae,Brunia,laxa,Thunb.,,,,,,,Synonym,Audouinia laxa (Thunb.) A.V.Hall,Indigenous; Endemic
Amaranthaceae,Salicornia,uniflora,Toelken,,,,,,,Accepted,,Indigenous
Asteraceae,Gamochaeta,antillana,(Urb.) Anderb.,,,,,,,Accepted,,Not indigenous; Naturalised; Invasive
Asteraceae,Euryops,linearis,Harv.,,,,,,,Accepted,,Indigenous; Endemic
Asphodelaceae,Haworthia,toonensis,(M.B.Bayer) Breuer,,,,,,,Synonym,Haworthia mirabilis (Haw.) Haw. var. toonensis (M.B.Bayer) M.B.Bayer,Indigenous
Asphodelaceae,Kniphofia,leucocephala,Baijnath,,,,,,,Accepted,,Indigenous; Endemic
Restionaceae,Ischyrolepis,esterhuyseniae,(Pillans) H.P.Linder,,,,,,,Synonym,Restio esterhuyseniae Pillans,Indigenous; Endemic
Ericaceae,Erica,viridescens,Lodd.,var.,latituba,(L.Bolus) Dulfer,,,,Synonym,Erica latituba L.Bolus,Indigenous
Aizoaceae,Conophytum,tomasi,Halda,,,,,,,Accepted,,Indigenous; Endemic
Aizoaceae,Dorotheanthus,acuminatus,L.Bolus,,,,,,,Synonym,Cleretum bellidiforme (Burm.f.) G.D.Rowley,
Scrophulariaceae,Jamesbrittenia,canescens,(Benth.) Hilliard,var.,canescens,,,,,Accepted,,Indigenous
Restionaceae,Askidiosperma,sp.,,,,,,,,Genus level,,
Hyacinthaceae,Dipcadi,ciliare,(Eckl. & Zeyh. ex Harv.) Baker,,,,,,,Accepted,,Indigenous; Endemic
Combretaceae,Combretum,eugeneanum,"R.G.C.Boon, Jordaan & A.E.van Wyk",,,,,,,Accepted,,Indigenous; Endemic
Iridaceae,Tritoniopsis,ramosa,(Eckl. ex Klatt) G.J.Lewis,var.,unguiculata,(Baker) G.J.Lewis,,,,Accepted,,Indigenous; Endemic
Fabaceae,Indigofera,procumbens,L.,,,,,,,Accepted,,Indigenous; Endemic
Euphorbiaceae,Euphorbia,aequoris,N.E.Br.,,,,,,,Synonym,Euphorbia juttae Dinter,Indigenous
Geraniaceae,Pelargonium,weberi,E.M.Marais,,,,,,,Accepted,,Indigenous; Endemic
Oxalidaceae,Oxalis,primuloides,R.Knuth,,,,,,,Accepted,,Indigenous; Endemic
Scrophulariaceae,Selago,gracilis,(Rolfe) Hilliard,,,,,,,Accepted,,Indigenous; Endemic
Scrophulariaceae,Manulea,rhodantha,Hilliard,,,,,,,Inclusive,,Indigenous
Fabaceae,Otholobium,bolusii,(H.M.L.Forbes) C.H.Stirt.,,,,,,,Accepted,,Indigenous; Endemic
Aizoaceae,Hereroa,stanleyi,(L.Bolus) L.Bolus,,,,,,,Synonym,Chasmatophyllum stanleyi (L.Bolus) H.E.K.Hartmann,Indigenous
Cephaloziellaceae,Cephaloziella,anthelioides,S.W.Arnell,,,,,,,Accepted,,Indigenous; Endemic
