NameId	NameFull	NameFormatted	NamePart	NameScientific	IsCurrent	CurrentNameId	CurrentName	CurrentNamePart	YearOf	TaxonRank	Occurrence	Origin	Phyla	Class	Order	Family	Genus
04BDA6CE-E3C0-46AF-B88B-0257A669B877	Diploophyllum dilatatum (G.Forst.) Bosch	<i>Diploophyllum dilatatum</i> (G.Forst.) Bosch	Diploophyllum dilatatum	<i>Diploophyllum dilatatum</i> (G.Forst.) Bosch, <i>Verslagen Meded. Afd. Natuurk. Kon. Akad. Wetensch.</i> 11: 323 (1861)	false	A2D38EEF-C987-4FB3-AFF7-376E49E4F00A	Hymenophyllum dilatatum (G.Forst.) Sw.	Hymenophyllum dilatatum	1861	species			Tracheophyta	Polypodiopsida	Hymenophyllales	Hymenophyllaceae	Hymenophyllum
A191CC3E-9CAF-43B9-89F8-A4412EF9F2F4	Diploophyllum scabrum (A.Rich.) Bosch	<i>Diploophyllum scabrum</i> (A.Rich.) Bosch	Diploophyllum scabrum	<i>Diploophyllum scabrum</i> (A.Rich.) Bosch, <i>Verslagen Meded. Afd. Natuurk. Kon. Akad. Wetensch.</i> 11: 323 (1861)	false	E7815F74-3AD7-447B-BCE9-ACE264779D50	Hymenophyllum scabrum A.Rich.	Hymenophyllum scabrum	1861	species			Tracheophyta	Polypodiopsida	Hymenophyllales	Hymenophyllaceae	Hymenophyllum
3748D2F9-74C5-4206-AEB0-F2A59A160628	Doodia R.Br.	<i>Doodia</i> R.Br.	Doodia	<i>Doodia</i> R.Br., <i>Prodr. Fl. Nov. Holland.</i> 151 (1810)	false	E1B8D9F3-8DD0-48A7-A45B-64C1D6F169E8	Blechnum L.	Blechnum	1810	genus			Tracheophyta	Polypodiopsida	Polypodiales	Blechnaceae	Blechnum
A45BFD2A-7544-4783-83BF-9F343EBB8C2F	Doodia aucklandica Field	<i>Doodia aucklandica</i> Field	Doodia aucklandica	<i>Doodia aucklandica</i> Field (1905)	false	597AAE17-8A60-4CE8-9182-3E0A9F15E5B4	Blechnum parrisiae Christenh.	Blechnum parrisiae	1905	species			Tracheophyta	Polypodiopsida	Polypodiales	Blechnaceae	Blechnum
FAD7ABA5-DFA4-45D3-93E2-A9B20544A218	Doodia australis (Parris) Parris	<i>Doodia australis</i> (Parris) Parris	Doodia australis	<i>Doodia australis</i> (Parris) Parris, <i>Fl. Austral. 48,</i> 710 (1998)	false	597AAE17-8A60-4CE8-9182-3E0A9F15E5B4	Blechnum parrisiae Christenh.	Blechnum parrisiae	1998	species			Tracheophyta	Polypodiopsida	Polypodiales	Blechnaceae	Blechnum
76F2040A-352A-4780-A843-8BBF4EFE9873	Doodia caudata Baker	<i>Doodia caudata</i> Baker	Doodia caudata	<i>Doodia caudata</i> Baker (1891)	false	E7881D62-FA55-4FB5-ABF6-0EA6551A5FF1	Blechnum zeelandicum Christenh.	Blechnum zeelandicum	1891	species			Tracheophyta	Polypodiopsida	Polypodiales	Blechnaceae	Blechnum
7F7A067D-FDC1-4D90-8E10-4BA95DB9BA2F	Doodia caudata var. milnei (Carruth.) Domin	<i>Doodia caudata</i> var. <i>milnei</i> (Carruth.) Domin	Doodia caudata var. milnei	<i>Doodia caudata</i> var. <i>milnei</i> (Carruth.) Domin (1913)	false	135443D1-101C-485C-BFEC-F5BBD5C7DD52	Blechnum kermadecense Perrie & Brownsey	Blechnum kermadecense	1913	var.			Tracheophyta	Polypodiopsida	Polypodiales	Blechnaceae	Blechnum
C0EEE085-AB1B-4BDC-8E2C-33986A42F15F	Doodia caudata var. squarrosa (Colenso) C.Chr.	<i>Doodia caudata</i> var. <i>squarrosa</i> (Colenso) C.Chr.	Doodia caudata var. squarrosa	<i>Doodia caudata</i> var. <i>squarrosa</i> (Colenso) C.Chr., <i>Index Filic.</i> 243 (1906)	false	E7881D62-FA55-4FB5-ABF6-0EA6551A5FF1	Blechnum zeelandicum Christenh.	Blechnum zeelandicum	1906	var.			Tracheophyta	Polypodiopsida	Polypodiales	Blechnaceae	Blechnum
43CEBD10-79AA-4A74-AD94-D2EA5D390726	Doodia media subsp. australis Parris	<i>Doodia media</i> subsp. <i>australis</i> Parris	Doodia media subsp. australis	<i>Doodia media</i> subsp. <i>australis</i> Parris, <i>New Zealand J. Bot.</i> 10: 593 (1972)	false	597AAE17-8A60-4CE8-9182-3E0A9F15E5B4	Blechnum parrisiae Christenh.	Blechnum parrisiae	1972	subsp.			Tracheophyta	Polypodiopsida	Polypodiales	Blechnaceae	Blechnum
D3504924-B7EC-4CB8-A162-14C4CBDD0639	Doodia media var. caudata G.M.Thomson	<i>Doodia media</i> var. <i>caudata</i> G.M.Thomson	Doodia media var. caudata	<i>Doodia media</i> var. <i>caudata</i> G.M.Thomson (1882)	false	82C2D68E-81DF-4ABE-B626-BA123DFA8BCD	Blechnum molle (Parris) Christenh.	Blechnum molle	1882	var.			Tracheophyta	Polypodiopsida	Polypodiales	Blechnaceae	Blechnum
B373D88C-8A76-4335-AACD-2867320C8029	Doodia media var. connexa G.M.Thomson	<i>Doodia media</i> var. <i>connexa</i> G.M.Thomson	Doodia media var. connexa	<i>Doodia media</i> var. <i>connexa</i> G.M.Thomson (1882)	false	135443D1-101C-485C-BFEC-F5BBD5C7DD52	Blechnum kermadecense Perrie & Brownsey	Blechnum kermadecense	1882	var.			Tracheophyta	Polypodiopsida	Polypodiales	Blechnaceae	Blechnum
3265365C-705B-4E77-B786-C5901216D358	Doodia media var. milnei (Carruth.) Baker	<i>Doodia media</i> var. <i>milnei</i> (Carruth.) Baker	Doodia media var. milnei	<i>Doodia media</i> var. <i>milnei</i> (Carruth.) Baker, <i>Syn. Fil., ed. 2.</i> 432 (1874)	false	135443D1-101C-485C-BFEC-F5BBD5C7DD52	Blechnum kermadecense Perrie & Brownsey	Blechnum kermadecense	1874	var.			Tracheophyta	Polypodiopsida	Polypodiales	Blechnaceae	Blechnum
229FFF60-8DE7-4D99-802B-3817BD58DC7F	Doodia milnei Carruth.	<i>Doodia milnei</i> Carruth.	Doodia milnei	<i>Doodia milnei</i> Carruth. in Seemann, <i>Fl. Vit. 1,</i> 351 (1873)	false	135443D1-101C-485C-BFEC-F5BBD5C7DD52	Blechnum kermadecense Perrie & Brownsey	Blechnum kermadecense	1873	species			Tracheophyta	Polypodiopsida	Polypodiales	Blechnaceae	Blechnum
22095DF6-953E-4B5C-8ED5-006EE03733B2	Doodia mollis Parris	<i>Doodia mollis</i> Parris	Doodia mollis	<i>Doodia mollis</i> Parris, <i>New Zealand J. Bot.</i> 18: 145 (1980)	false	82C2D68E-81DF-4ABE-B626-BA123DFA8BCD	Blechnum molle (Parris) Christenh.	Blechnum molle	1980	species			Tracheophyta	Polypodiopsida	Polypodiales	Blechnaceae	Blechnum
6DE3354C-3582-4F0A-9799-FE6044F8EA03	Doodia squarrosa Colenso	<i>Doodia squarrosa</i> Colenso	Doodia squarrosa	<i>Doodia squarrosa</i> Colenso, <i>Trans. & Proc. New Zealand Inst.</i> 13: 382 (1881 [1880])	false	E7881D62-FA55-4FB5-ABF6-0EA6551A5FF1	Blechnum zeelandicum Christenh.	Blechnum zeelandicum	1881	species			Tracheophyta	Polypodiopsida	Polypodiales	Blechnaceae	Blechnum
21224169-6E93-4BBC-BD26-7F358E5C305F	Drynaria billardierei (R.Br.) J.Sm.	<i>Drynaria billardierei</i> (R.Br.) J.Sm.	Drynaria billardierei	<i>Drynaria billardierei</i> (R.Br.) J.Sm., <i>Companion Bot. Mag. New Ser.</i> 2: 14 (1846)	false	53B087DE-A47B-46F5-B522-F60DA3D53223	Microsorum pustulatum (G.Forst.) Copel.	Microsorum pustulatum	1846	species			Tracheophyta	Polypodiopsida	Polypodiales	Polypodiaceae	Microsorum
